fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
13.78,0.705,0.05,1.48,0.07400000000000001,8.0,75.3,0.9962,3.34,1.58,10.5,6
4.91,0.77,0.08,8.06,0.076,7.72,260.13,0.9967,3.68,0.43,13.77,6
7.7,0.67,0.93,2.1,0.48,17.0,96.0,0.9962,3.65,0.48,13.35,5
7.7,0.69,0.22,1.9,0.084,11.11,94.0,1.0,3.03,1.23,13.26,5
8.3,0.675,0.39,14.0,0.4,64.42,28.5,0.9976,2.96,0.53,10.52,4
9.7,1.33,0.57,2.5,0.094,28.0,83.0,0.99,3.94,0.82,9.6,5
7.01,0.41,0.64,2.2,0.28,9.0,42.0,0.9986,3.02,0.66,9.41,5
8.8,1.45,0.64,2.2,0.093,1.6,42.0,0.9986,2.85,0.66,10.5,5
6.8,1.49,0.0,1.6,0.5,62.78,62.08,1.0,3.68,0.55,10.7,6
6.7,0.75,0.18,2.0,0.086,12.0,222.51,1.0,3.38,0.52,11.04,5
8.3,0.625,0.26,1.69,0.08,39.65,119.0,0.9972,3.23,1.12,8.8,4
6.2,1.34,0.8,1.6,0.069,18.83,15.0,1.0,3.41,0.56,9.2,5
7.8,1.28,0.7,9.69,0.464,1.51,67.0,1.0,2.85,1.28,9.4,5
7.4,0.96,0.47,2.0,0.36,21.0,73.0,1.0,3.36,1.85,13.39,5
7.3,1.11,0.26,3.24,0.42,16.0,31.65,0.9969,2.85,1.14,9.4,5
5.02,1.07,0.27,2.66,0.26,18.0,61.0,0.9959,3.44,0.78,10.3,6
10.38,1.21,0.15,2.2,0.16,19.0,40.0,0.9961,3.87,0.44,10.1,5
7.35,0.49,0.28,1.9,0.55,20.0,136.0,1.0,2.93,1.95,12.32,6
14.94,1.34,0.26,4.9,0.21,9.0,95.56,0.9966,3.1,0.64,9.6,5
9.3,0.39,0.1,10.03,0.107,34.0,143.45,1.0,3.25,1.22,9.5,5
7.0,1.43,0.26,1.8,0.076,8.0,137.49,0.99,3.73,0.53,9.0,5
7.9,0.84,0.36,10.59,0.079,42.0,157.61,0.9964,3.43,0.96,9.5,5
8.6,0.54,0.28,1.9,0.11,20.0,136.0,1.0,3.59,1.95,11.81,6
8.6,0.49,0.2,2.0,0.11,19.0,89.49,1.0,2.93,0.43,9.8,5
7.7,0.49,0.12,4.5,0.062,9.0,41.03,0.9966,3.39,0.64,9.6,5
7.27,0.32,0.39,1.4,0.045,63.48,85.0,0.9938,3.56,1.1,10.5,4
4.7,0.6,0.76,2.3,0.52,26.18,157.87,0.9932,3.32,0.55,12.9,6
6.8,0.54,0.0,5.47,0.102,8.0,122.67,0.9965,3.45,0.56,13.49,5
12.89,0.5,0.25,7.1,0.07,3.0,215.72,0.9963,2.93,0.94,9.2,5
5.35,0.9,0.45,6.1,0.079,35.43,47.3,0.99,3.39,1.44,11.49,5
8.1,0.545,0.18,11.29,0.31,13.0,216.7,0.9972,3.3,1.01,11.18,6
8.3,1.3,0.3,2.1,0.084,11.0,67.77,0.9972,3.4,1.9,13.3,6
7.8,0.5,0.3,1.31,0.075,24.03,22.0,0.9959,3.51,0.56,13.35,6
8.1,1.12,0.18,2.87,0.33,13.0,228.01,1.0,3.89,0.59,10.08,6
8.1,0.575,0.44,1.22,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5
6.94,0.49,0.24,2.2,0.04,5.0,36.0,0.996,3.04,0.48,9.4,5
14.66,0.9,0.4,11.88,0.077,12.0,65.0,0.9967,3.29,1.75,12.38,5
7.8,0.41,0.85,1.7,0.467,18.0,69.0,0.9973,3.97,0.61,9.3,5
4.67,1.28,0.31,1.7,0.08800000000000001,15.0,129.02,0.9969,3.46,0.79,9.3,5
10.05,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,2.95,0.8,8.73,6
6.51,0.785,0.52,6.69,0.122,37.0,256.38,0.9969,3.21,0.69,9.3,5
7.8,1.08,0.19,1.8,0.104,12.0,14.74,1.0,2.75,0.94,9.5,5
8.4,0.62,0.26,2.2,0.084,59.85,96.33,1.0,3.15,0.62,8.49,5
8.4,1.38,0.67,2.2,0.085,14.0,152.14,0.9964,3.15,0.66,10.73,5
10.1,0.31,0.44,14.44,0.43,22.0,46.0,0.9988,3.32,0.67,9.7,6
13.64,1.38,0.19,7.28,0.104,12.0,47.0,1.0,3.94,0.93,9.5,5
9.4,0.52,0.31,2.2,0.36,71.07,62.0,0.9966,3.67,0.8,10.5,6
5.86,0.54,0.71,1.9,0.077,64.91,40.0,0.9978,2.98,0.97,10.0,6
4.8,1.28,0.19,2.0,0.58,7.0,28.0,1.0,3.37,0.5,12.29,6
6.55,0.32,0.04,2.2,0.119,14.0,103.02,0.9962,3.21,0.6,13.91,6
7.0,0.77,0.5,1.8,0.097,33.79,89.0,0.9959,3.34,0.54,9.2,6
7.3,1.52,0.77,1.7,0.38,10.0,89.0,0.9962,3.3,0.57,9.0,5
8.8,0.55,0.04,2.2,0.119,3.43,141.23,1.0,3.21,0.6,10.78,6
7.3,0.695,0.0,2.5,0.075,3.0,54.14,0.998,2.79,0.52,9.2,5
7.05,1.39,0.0,14.29,0.15,11.0,101.55,1.0,3.4,1.61,9.5,5
12.34,0.75,0.17,1.6,0.08199999999999999,21.0,102.0,0.996,3.34,0.48,9.5,5
9.0,0.38,0.11,1.9,0.146,67.63,204.1,0.9984,2.94,0.7,9.4,5
8.2,1.12,0.01,1.7,0.47,9.88,12.0,1.0,2.96,0.49,12.45,5
14.69,0.54,0.0,12.49,0.08199999999999999,3.0,12.0,0.9964,3.54,1.18,10.9,5
14.75,0.59,0.97,12.65,0.065,3.0,16.0,0.9962,3.59,0.92,14.38,7
6.1,0.13,0.15,12.05,0.37,6.0,204.8,0.99,3.42,1.77,9.4,5
8.0,0.745,0.08,2.0,0.02,30.0,252.15,0.9968,3.7,1.53,11.57,5
5.69,0.5,0.62,6.43,0.08,17.0,99.0,0.9937,2.98,0.36,11.18,5
13.4,0.5,0.09,2.3,0.08,67.48,257.09,0.9937,3.63,0.63,13.0,5
6.6,1.17,0.87,1.5,0.57,59.4,31.8,0.9952,3.4,0.83,9.01,6
7.9,1.34,0.05,2.2,0.084,46.72,29.0,0.9959,2.77,0.55,9.9,6
15.82,1.18,0.11,10.4,0.09,25.09,202.03,1.0,3.19,0.99,8.43,5
8.3,0.715,0.15,1.8,0.08900000000000001,40.38,27.65,0.9968,3.23,0.77,9.5,5
7.2,0.415,0.37,14.53,0.34,13.0,45.0,0.9972,3.48,1.35,13.72,5
12.38,0.56,0.19,2.1,0.081,67.11,105.0,0.9962,3.33,1.13,12.47,5
7.8,0.17,0.89,5.29,0.21,17.0,108.0,0.9962,3.32,0.54,9.5,5
6.19,0.745,0.11,1.9,0.1,16.0,41.13,0.9965,3.79,0.82,9.6,5
8.3,0.715,0.15,1.8,0.12,10.0,52.0,1.0,3.77,0.9,10.26,5
5.2,0.19,0.0,3.69,0.34,2.61,63.0,0.99,3.68,0.79,14.0,6
9.02,0.39,0.08,6.03,0.066,23.19,66.62,0.9954,2.92,0.58,9.4,5
6.5,0.88,0.07,1.8,0.34,27.0,216.41,0.9916,3.68,0.79,14.0,6
8.1,0.67,0.55,1.8,0.117,32.0,105.24,0.9968,3.17,0.62,9.01,5
12.54,1.27,0.68,8.05,0.37,21.0,94.0,0.9944,3.62,0.52,9.39,5
14.56,0.57,0.26,9.94,0.49,30.42,88.0,0.9968,3.11,1.35,9.3,5
6.9,0.49,0.1,2.3,0.07400000000000001,12.0,167.45,0.99,3.56,0.58,9.82,6
11.67,0.4,0.25,2.8,0.08900000000000001,11.0,285.22,1.0,3.53,0.61,10.5,6
7.3,0.6,0.82,7.28,0.36,5.0,85.13,0.9958,3.33,0.53,10.83,6
7.36,0.52,0.8,9.22,0.61,32.0,40.8,0.9996,2.74,2.0,11.99,4
8.03,0.6,0.03,1.8,0.095,40.3,90.64,1.0,3.35,1.56,10.82,5
7.5,1.4,0.95,8.75,0.095,25.0,99.0,0.995,3.47,0.54,9.19,5
7.1,0.17,0.19,5.5,0.12,64.92,129.0,0.9973,3.42,1.01,10.5,5
7.1,0.43,0.42,4.07,0.071,28.0,130.54,0.9973,3.42,0.71,10.5,5
7.1,1.5,0.42,4.0,0.07,29.0,206.61,1.0,3.42,0.72,10.5,5
7.1,0.88,0.42,5.5,0.39,19.57,10.45,0.9973,3.42,1.65,10.5,5
13.79,0.68,0.6,2.2,0.26,40.3,103.52,0.9969,3.48,0.5,10.6,5
8.93,1.03,0.18,1.9,0.079,1.57,248.9,0.9968,3.59,0.57,10.43,6
7.6,0.8,0.03,11.92,0.09,7.0,15.4,0.9959,3.06,0.56,14.42,5
13.18,1.26,0.08,1.3,0.07200000000000001,9.0,20.0,0.99,3.17,1.08,13.64,4
10.48,0.53,0.04,1.7,0.09,17.0,31.0,0.9964,3.84,1.41,8.85,6
11.35,0.91,0.98,9.62,0.07,36.0,121.0,1.0,3.84,0.49,9.4,5
8.72,0.59,0.26,14.01,0.07,57.76,121.0,1.0,3.37,0.49,14.78,5
7.8,0.98,0.73,1.7,0.19,27.24,210.88,1.0,3.19,0.62,14.63,5
6.8,0.64,0.77,2.1,0.085,53.2,101.0,1.0,3.93,0.35,10.2,5
7.3,0.55,0.03,1.6,0.19,17.0,247.85,1.0,3.37,0.48,13.85,4
9.67,1.24,0.19,2.1,0.08900000000000001,14.98,44.0,0.9953,3.47,0.55,10.4,6
7.5,0.64,0.93,1.8,0.36,15.0,63.0,0.9964,2.83,1.59,9.5,5
7.9,0.885,0.98,7.39,0.08,4.0,8.0,1.0,3.69,1.18,14.8,4
8.44,1.26,0.17,2.0,0.23,71.03,281.99,1.0,3.29,1.74,12.63,6
8.0,0.2,0.17,2.0,0.32,50.19,40.39,1.0,3.29,0.61,9.2,6
11.03,0.57,0.32,6.88,0.068,35.1,55.05,0.9961,2.87,0.57,11.5,6
14.51,0.33,0.61,2.61,0.14,7.0,35.0,1.0,3.21,1.86,9.5,5
9.85,0.5,0.04,1.5,0.39,69.94,49.0,1.0,3.1,0.78,9.5,5
9.31,0.8,0.21,2.0,0.08,66.87,56.45,0.99,3.71,0.47,9.5,5
13.58,0.68,0.42,9.43,0.56,41.35,47.6,0.9972,3.58,0.61,14.17,6
12.35,0.99,0.0,4.67,0.068,53.32,20.0,0.9969,3.96,0.56,9.6,5
12.03,0.61,0.14,2.4,0.43,1.48,42.0,1.0,3.19,0.59,9.5,5
13.16,0.61,0.31,12.59,0.067,11.02,97.18,1.0,3.12,0.59,14.72,5
8.9,1.45,0.55,2.0,0.27,37.74,110.0,0.9972,3.86,0.65,9.3,5
7.2,1.37,0.7,7.08,0.54,16.0,172.62,0.9972,3.44,0.54,14.03,5
6.8,0.61,0.2,1.8,0.077,11.0,95.07,1.0,3.04,0.58,9.3,5
7.14,0.12,0.24,9.24,0.05,37.16,196.77,0.997,3.52,0.58,9.3,6
5.49,0.31,0.57,9.81,0.111,28.5,85.0,1.0,3.87,0.53,10.83,5
7.4,0.39,0.18,2.74,0.54,47.3,67.0,1.0,3.52,1.47,9.2,5
7.7,0.705,0.1,2.6,0.42,62.25,26.0,1.0,3.39,1.76,13.24,5
6.82,1.44,0.33,2.0,0.07,15.0,143.0,0.9968,3.26,0.55,9.5,5
12.48,0.49,0.39,1.9,0.39,17.0,174.02,1.0,3.2,0.55,13.82,5
6.61,1.11,0.35,4.51,0.077,21.0,127.0,0.9976,3.93,0.7,9.4,5
10.5,0.37,0.25,1.9,0.3,51.73,58.26,1.0,3.57,0.62,9.8,6
6.8,0.63,0.12,3.8,0.35,11.74,95.68,0.9969,3.28,0.72,9.5,5
10.14,1.21,0.21,9.85,0.071,7.0,28.0,0.9964,3.28,1.1,9.7,5
15.25,0.55,0.96,2.2,0.071,55.5,28.0,0.9964,3.28,0.55,11.52,5
7.8,0.56,0.4,7.71,0.07400000000000001,24.0,66.63,1.0,3.25,1.27,13.02,5
9.03,0.58,0.66,2.4,0.36,24.53,112.87,1.0,3.82,0.59,9.19,5
15.12,0.3,0.92,0.94,0.33,12.0,27.0,0.9981,3.11,1.43,10.27,6
10.81,0.835,0.08,1.2,0.45,28.11,93.0,0.9924,3.57,1.34,10.31,7
6.9,0.8,0.06,2.1,0.061,12.0,72.51,1.0,3.51,1.7,11.4,4
9.6,0.32,0.47,1.4,0.56,52.36,24.0,1.0,3.22,1.92,10.3,7
8.8,0.37,0.48,2.1,0.47,39.0,114.05,1.0,3.23,1.03,12.61,5
5.59,0.5,0.11,1.5,0.18,12.92,96.78,0.99545,3.36,1.44,10.35,5
14.84,0.48,0.35,1.6,0.08800000000000001,16.0,39.0,0.9961,3.02,0.55,9.2,5
7.0,0.51,0.42,1.6,0.31,14.0,37.0,0.99615,3.34,0.56,10.79,6
12.8,0.5,0.0,2.6,0.45,12.57,28.0,0.9994,3.2,1.52,9.27,7
12.8,0.64,0.74,2.6,0.095,9.19,28.0,0.99,3.2,0.77,10.8,7
7.8,0.78,0.31,1.8,0.069,10.09,120.0,0.99625,3.8,0.53,12.76,5
7.8,0.44,0.28,12.96,0.1,18.0,220.43,0.9966,3.22,0.67,10.21,5
14.92,0.3,0.58,6.49,0.054000000000000006,7.0,21.97,1.0,3.31,0.85,10.5,7
9.7,0.53,0.97,3.06,0.07,41.77,19.0,0.99585,2.91,0.86,13.42,6
11.29,0.725,0.24,2.8,0.083,44.95,62.0,0.99685,3.35,0.56,10.0,6
5.2,0.44,0.94,2.1,0.059,5.0,15.0,0.99,3.21,1.66,11.02,6
7.64,1.08,0.38,4.46,0.06,11.71,68.9,0.9959,3.3,0.43,9.1,5
6.52,1.39,0.75,2.4,0.092,10.0,41.0,1.0,3.65,0.71,13.33,6
7.0,0.49,0.49,8.14,0.39,67.46,121.0,0.99,4.0,0.76,10.5,5
15.55,0.2,0.16,2.0,0.51,10.85,49.0,1.0,2.74,0.57,11.0,5
6.96,0.725,0.22,2.2,0.61,64.18,183.13,0.9967,3.36,0.55,9.1,5
7.5,0.16,0.89,5.98,0.58,20.36,44.0,0.9957,3.39,1.77,9.7,5
8.74,0.34,0.33,4.73,0.42,24.8,144.0,0.99655,3.77,0.6,9.4,5
7.8,0.34,0.9,14.83,0.08199999999999999,43.93,58.0,1.0,3.34,0.59,9.4,6
10.93,0.53,0.95,9.72,0.101,16.0,72.0,1.0,3.15,0.57,9.03,5
6.8,1.39,0.14,1.5,0.02,5.0,10.0,0.99525,3.42,0.56,10.18,5
8.6,0.645,0.25,2.0,0.083,62.2,25.97,1.0,3.63,0.6,10.84,6
8.4,0.635,0.36,2.0,0.08900000000000001,15.0,135.2,1.0,3.24,0.57,10.22,4
7.7,1.55,0.25,7.78,0.073,4.33,23.61,1.0,3.37,0.58,9.67,6
7.04,1.41,0.5,2.0,0.337,27.0,81.0,0.9964,3.02,1.61,9.5,6
9.0,1.17,0.68,2.6,0.08900000000000001,1.14,23.0,0.99,3.39,0.63,10.93,5
7.7,1.36,0.25,2.6,0.24,29.0,177.93,0.99615,3.17,0.58,10.5,6
8.42,0.52,0.25,7.63,0.34,10.0,37.0,0.99685,3.65,0.5,14.67,5
12.06,0.48,0.5,14.54,0.054000000000000006,19.0,145.15,0.9927,3.54,1.33,12.2,7
8.0,0.66,0.06,6.36,0.078,12.0,49.0,0.99625,3.37,1.22,9.58,6
8.5,0.8,0.33,6.73,0.09,30.93,79.59,0.998,3.34,0.68,9.6,6
11.93,0.66,0.25,1.09,0.081,60.85,37.0,1.0,3.77,0.5,11.0,5
8.2,1.0,0.3,2.3,0.54,7.0,164.22,0.99,3.32,0.55,14.33,6
7.2,0.57,0.0,7.06,0.19,20.48,90.39,0.99675,3.37,0.58,9.52,6
6.59,0.42,0.45,5.24,0.51,14.0,38.0,0.99675,3.37,1.67,9.0,6
7.2,0.645,0.0,15.27,0.097,15.0,39.0,0.99675,3.37,0.58,12.02,6
7.2,0.63,0.0,1.9,0.04,48.1,249.27,0.99,3.37,0.58,11.07,6
4.7,0.94,0.09,10.94,0.065,3.31,153.62,1.0,3.59,1.91,9.55,6
10.19,0.85,0.37,6.82,0.263,10.27,57.86,0.9971,3.11,1.09,11.34,5
13.51,0.32,0.8,11.51,0.093,6.0,208.61,0.99925,3.14,0.71,10.9,6
7.7,1.32,0.84,1.88,0.102,60.15,33.62,1.0,3.08,0.49,9.65,6
15.0,0.21,0.39,2.2,0.075,32.54,24.0,1.0,3.07,1.75,9.2,7
5.34,0.56,0.2,14.09,0.36,10.0,24.0,1.0,3.07,2.0,12.61,7
7.3,0.69,0.0,2.0,0.084,6.0,237.64,0.9983,3.66,1.71,9.9,6
7.1,0.52,0.07,10.58,0.075,16.0,51.0,0.99685,3.38,0.52,9.98,5
11.53,0.6,0.73,15.07,0.06,38.97,73.0,0.9963,3.58,0.35,11.8,5
15.55,0.53,0.06,1.7,0.07400000000000001,9.0,139.88,1.0,3.27,0.48,9.72,6
7.3,0.77,0.94,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,10.41,6
10.8,1.12,0.24,1.6,0.09,16.0,243.37,0.9985,3.22,1.84,10.0,6
14.7,0.91,0.01,1.8,0.07400000000000001,16.0,173.67,0.9972,3.47,0.6,9.92,6
11.03,0.35,0.48,13.25,0.09,24.12,21.0,0.9986,3.78,0.53,10.5,5
7.7,0.775,0.98,2.73,0.29,8.0,86.0,0.9959,3.87,0.42,9.5,5
7.1,1.55,0.0,1.8,0.03,16.0,121.65,1.0,3.47,0.7,9.9,6
5.45,0.57,0.23,8.84,0.073,2.25,99.85,1.0,3.91,0.57,8.65,5
8.06,0.47,0.37,2.2,0.075,5.0,89.54,0.998,3.22,0.62,9.2,5
6.6,1.34,0.0,2.1,0.37,24.24,56.0,1.0,2.8,1.59,9.2,5
14.73,0.41,0.71,2.94,0.42,18.04,45.0,0.9968,3.12,1.23,9.4,5
9.69,0.31,0.18,2.6,0.24,4.03,33.0,0.99,3.36,0.8,10.5,7
7.9,1.17,0.23,3.51,0.44,18.0,45.0,0.99625,3.36,0.65,9.3,5
12.55,0.975,0.04,2.0,0.087,24.63,182.83,0.99565,3.35,0.6,13.27,4
8.0,0.94,0.94,14.7,0.07,10.0,35.0,1.0,3.34,0.68,10.0,5
7.9,0.69,0.23,1.8,0.38,7.86,49.0,0.9963,3.28,0.82,10.2,5
10.71,0.56,0.49,2.4,0.064,52.11,46.06,0.9999,3.08,0.54,10.48,5
13.47,0.26,0.52,12.3,0.071,6.0,10.0,0.9968,3.2,0.72,10.87,7
14.72,0.87,0.0,3.3,0.35,14.03,61.0,1.00025,3.79,0.72,10.84,4
7.9,0.57,0.36,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,8
5.05,0.54,0.09,3.63,0.077,35.44,202.32,1.0,3.69,0.91,13.68,6
15.76,0.74,0.27,4.0,0.39,4.0,178.17,0.9996,2.76,1.2,11.53,6
7.9,0.89,0.55,5.08,0.18,27.0,61.0,1.0,3.36,0.67,13.37,6
12.74,0.18,0.51,4.0,0.32,14.96,23.0,1.0,3.19,0.97,13.97,6
10.28,0.37,0.58,4.0,0.071,69.35,65.0,1.0,3.22,1.91,11.61,5
12.63,0.715,0.19,10.25,0.076,10.0,38.0,0.99,2.78,0.36,9.48,5
7.5,1.03,0.18,7.0,0.4,27.0,94.0,0.99915,3.46,0.75,9.4,5
7.9,0.545,0.06,4.0,0.087,27.0,236.47,0.9965,3.36,0.67,10.7,6
6.9,1.23,0.93,3.0,0.3,58.49,119.87,1.0,3.46,0.91,12.21,6
11.5,0.18,0.51,13.24,0.104,4.0,23.0,1.0,3.93,0.97,10.1,6
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.99,3.23,0.82,12.6,8
13.41,0.4,0.37,5.6,0.087,36.88,47.0,1.0,2.91,1.38,13.65,7
15.88,0.26,0.77,3.6,0.071,41.72,172.63,1.0,3.12,1.65,8.46,6
10.39,0.51,0.68,6.58,0.358,5.0,10.0,0.9972,3.25,1.08,11.5,7
5.49,0.52,0.12,3.0,0.21,1.6,53.0,0.9971,3.36,1.99,9.1,5
8.9,0.81,0.13,12.85,0.087,10.0,47.0,0.9991,3.9,0.77,11.67,7
9.9,0.59,0.07,3.4,0.05,45.54,71.0,1.00015,3.31,0.71,12.92,5
9.9,0.27,0.07,14.01,0.12,19.18,71.0,0.99,3.31,0.71,9.8,5
12.0,0.52,0.77,2.0,0.073,25.0,49.0,1.0,3.8,0.76,13.39,6
9.99,0.4,0.25,3.0,0.092,66.14,206.91,1.0,3.37,0.99,13.86,6
8.7,0.52,0.09,2.5,0.091,16.84,102.45,0.9976,3.6,0.86,10.6,7
12.19,0.42,0.86,8.46,0.51,33.0,98.0,1.001,3.2,0.95,9.2,5
8.55,0.52,0.79,8.24,0.091,12.78,49.0,0.9976,3.34,1.61,10.6,7
11.0,1.43,0.48,2.0,0.343,57.55,36.87,0.9979,3.3,1.38,10.74,5
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.49,1.58,11.33,6
6.9,0.36,0.09,15.03,0.49,55.23,16.0,1.0,3.97,1.73,10.1,6
7.71,0.34,0.52,13.67,0.59,5.22,53.0,1.0014,3.1,0.81,9.5,6
