Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.81,0.13,0.46,1.72,0.59,0.15,0.72,9
M,0.69,0.48,0.105,1.58,1.01,0.5,0.27,9
M,0.81,0.08,0.135,0.23,0.36200000000000004,0.47,0.0,14
F,0.73,0.42,0.045,1.82,0.0315,0.0235,0.02,5
I,0.49,0.15,0.57,1.29,0.02,0.015,0.13,5
I,0.22,0.29,0.96,0.68,0.0175,0.0125,0.36,4
I,0.41,0.22,0.0,1.54,1.23,0.56,0.09,7
F,0.47,0.49,0.65,2.39,0.53,0.22699999999999998,0.14,9
F,0.47,0.375,0.82,0.33,0.49,0.73,0.19,7
I,0.66,0.28,1.07,2.34,1.24,0.27,0.5,6
I,0.8,0.17,0.84,1.01,0.3545,0.2135,0.245,9
I,0.46,0.63,1.01,1.43,0.2385,0.34,0.93,8
F,0.22,0.5,0.81,0.303,0.62,0.61,0.63,7
M,0.41,0.36,0.13,1.71,0.72,0.24,1.0,10
F,0.35,0.19,0.67,1.58,0.77,0.34,0.82,10
F,0.405,0.31,0.1,1.09,0.72,0.37,0.34,7
F,0.17,0.2,0.34,0.28,0.64,0.02,0.83,8
M,0.5,0.35,1.07,2.11,0.06,0.63,0.135,8
M,0.17,0.385,0.67,0.17,1.07,0.39,0.17,8
I,0.66,0.13,0.36,2.23,0.2,0.4,0.17,4
F,0.505,0.4,0.34,2.01,0.92,0.51,0.175,7
I,0.46,0.345,0.105,1.1,0.58,0.32,0.77,7
F,0.505,0.405,0.11,2.15,1.07,0.16,0.48,9
F,0.28,0.51,0.07,2.76,0.22,0.45,0.83,10
M,0.425,0.34,0.88,2.16,1.3,0.44,0.05,7
M,0.61,0.4,0.74,2.77,0.52,0.1315,0.27,8
F,0.42,0.09,0.73,2.5,1.27,0.73,0.135,8
F,0.71,0.44,0.02,2.5,1.43,0.57,0.81,12
F,0.49,0.41,0.185,1.12,1.35,0.22399999999999998,1.0,13
F,0.68,0.3,0.12,0.99,0.41,0.1155,0.98,10
F,0.63,0.6,0.05,0.151,1.39,0.65,0.61,6
M,0.43,0.27,0.13,0.7665,0.45,0.65,0.275,13
I,0.13,0.32,0.26,0.32,0.1405,0.22,0.1,8
M,0.65,0.09,0.44,1.44,0.84,0.225,0.22,20
M,0.79,0.23,0.22,1.185,0.71,0.0,0.08,11
M,0.34,0.58,0.195,1.28,0.74,0.0,0.315,13
F,0.6,0.475,1.07,1.0075,1.25,0.45,0.55,15
F,0.8,0.1,0.14,0.22,0.3625,0.18899999999999997,0.315,9
I,0.44,0.64,0.57,1.56,1.38,0.11,0.305,10
M,0.14,0.53,0.95,0.94,0.282,0.66,0.37,11
F,0.52,0.475,0.35,2.79,1.06,0.56,0.15,14
F,0.71,0.08,0.08,0.9,0.73,0.03,0.39,9
M,0.55,0.6,0.51,1.615,0.8,0.14,0.4,12
I,0.52,0.29,0.165,2.13,0.27,0.225,0.7,16
I,0.5,0.475,0.16,0.96,1.11,0.4,0.34,21
M,0.38,0.46,0.04,0.86,0.63,0.45,0.36,14
M,0.75,0.45,0.91,1.76,0.8,0.42,0.15,12
M,0.625,0.34,0.94,1.195,0.57,0.69,0.79,13
M,0.29,0.14,1.13,0.37,0.35,0.66,0.33,10
I,0.1,0.49,1.03,2.18,0.56,0.114,0.83,9
M,0.76,0.34,0.16,0.17,0.63,0.01,0.33,12
I,0.58,0.49,0.135,0.8115,0.7,0.54,0.16,15
I,0.68,0.44,0.52,0.755,0.307,0.1,0.26,12
M,0.58,0.36,1.07,0.78,0.86,0.36,0.01,13
F,0.25,0.42,0.66,1.262,1.06,0.67,0.14,10
M,0.49,0.56,0.29,1.494,0.588,0.31,0.55,15
M,0.48,0.13,0.59,1.6059999999999999,0.3,0.38799999999999996,0.21,14
I,0.26,0.18,0.92,0.8,0.38,0.38,0.81,9
M,0.53,0.07,1.04,1.83,0.214,0.01,0.6,8
F,0.47,0.5,0.17,1.71,0.58,0.36,0.89,7
F,0.72,0.29,0.59,1.18,1.12,0.68,0.32,10
M,0.79,0.16,0.98,0.26,0.105,0.01,0.39,7
F,0.55,0.435,0.145,2.33,0.32799999999999996,0.15,0.255,15
M,0.24,0.57,0.43,2.03,0.68,0.13,0.44,15
I,0.37,0.64,0.14,0.7240000000000001,0.72,0.38,0.24,10
M,0.68,0.22,0.4,1.19,1.14,0.19,0.8,12
I,0.75,0.29,0.155,0.727,1.36,0.02,0.89,12
F,0.23,0.43,0.01,2.7,0.73,0.183,0.17,11
I,0.2,0.4,0.18,0.38,0.33,0.55,0.48,10
M,0.51,0.37,0.68,0.29,1.43,0.14,0.09,9
F,0.29,0.18,0.53,0.3635,1.07,0.54,0.22,9
I,0.19,0.33,0.125,0.5415,0.21,0.55,0.73,9
F,0.465,0.1,0.04,0.431,0.97,0.15,0.45,9
M,0.54,0.33,0.63,2.35,0.1485,0.0635,0.35,9
M,0.16,0.09,0.81,0.39299999999999996,0.13,0.53,0.92,9
M,0.78,0.33,1.12,0.2,0.98,0.62,0.02,11
F,0.62,0.37,0.02,1.02,0.93,0.02,0.18,11
F,0.28,0.09,1.03,0.6125,0.26,0.53,0.22,11
M,0.44,0.61,0.105,0.402,0.95,0.0955,0.93,10
F,0.59,0.43,0.6,1.07,0.14,0.64,0.05,9
F,0.08,0.305,0.5,2.04,0.3,0.0595,0.32,8
I,0.81,0.52,0.105,1.48,0.32,0.69,0.95,9
I,0.385,0.56,0.4,1.71,0.10300000000000001,0.0575,0.75,7
F,0.57,0.41,0.14,0.7659999999999999,0.83,0.48,0.81,14
F,0.45,0.32,1.03,0.13,0.7,0.07,0.07,6
F,0.35,0.14,0.26,0.42,0.28,0.66,0.92,6
I,0.34,0.35,0.62,1.68,0.05,0.22,0.54,5
F,0.29,0.1,0.26,0.23800000000000002,0.17,0.47,0.68,6
I,0.385,0.57,0.94,1.68,1.15,0.04,0.1,8
M,0.17,0.535,0.69,1.43,1.09,0.27,0.57,19
M,0.71,0.35,0.165,0.43,0.7665,0.11,0.43,18
I,0.595,0.11,0.31,0.93,1.09,0.57,0.65,17
F,0.44,0.21,0.125,2.71,0.11,0.61,0.129,9
F,0.73,0.59,0.48,1.88,0.085,0.53,0.3,7
I,0.16,0.35,0.49,2.71,0.086,0.47,0.84,7
I,0.33,0.47,0.065,1.23,0.66,0.09,0.41,7
F,0.61,0.23,0.23,0.53,0.27,0.24,0.24,8
I,0.305,0.61,0.08,2.41,0.0675,0.64,0.4,7
M,0.65,0.255,0.23,0.03,1.28,0.0295,0.09,9
F,0.09,0.59,0.11,0.3555,0.151,0.063,0.02,9
M,0.375,0.12,0.79,2.36,0.096,0.0575,0.37,9
I,0.47,0.445,0.15,1.72,0.8,0.35,0.57,10
M,0.55,0.57,0.01,2.33,0.295,0.75,0.34,10
M,0.28,0.12,0.75,1.11,0.51,0.6,0.66,16
F,0.68,0.29,0.6,1.26,0.25,0.32,0.44,11
M,0.16,0.35,0.45,2.6,0.58,0.1165,0.65,10
I,0.08,0.65,0.125,0.96,0.09,0.1075,0.88,10
M,0.09,0.41,0.12,1.03,0.22399999999999998,0.10800000000000001,0.31,10
I,0.53,0.57,0.08,0.97,1.16,0.28,0.21,9
I,0.46,0.3,0.055,0.29,1.25,0.33,0.79,5
M,0.76,0.26,0.095,2.0,0.22,0.56,0.01,4
F,0.16,0.475,0.61,2.78,0.28,0.36,0.325,15
M,0.605,0.28,0.57,1.21,0.469,0.2585,0.93,9
I,0.17,0.515,0.19,2.26,0.06,0.75,0.78,10
F,0.62,0.48,0.16,1.0565,0.35,0.2355,0.61,10
M,0.565,0.07,0.55,0.58,0.33,0.7,0.31,12
M,0.64,0.54,0.82,1.19,0.53,0.131,0.21,10
I,0.62,0.37,0.58,0.9940000000000001,1.12,0.2425,0.0,13
F,0.51,0.42,0.51,1.514,0.11,0.36,0.22,16
I,0.46,0.455,0.3,0.9075,0.48,0.41,0.29,13
F,0.38,0.07,1.06,1.19,1.4,0.68,0.21,13
M,0.605,0.63,0.77,2.03,0.09,0.31,0.92,13
F,0.73,0.485,0.87,2.13,0.36,0.2575,0.96,13
I,0.21,0.485,0.17,0.54,1.14,0.19,0.43,12
F,0.79,0.45,0.13,2.16,0.65,0.65,0.24,18
I,0.21,0.38,0.24,2.5,1.3,0.55,0.9,16
M,0.45,0.58,0.19,1.71,0.85,0.28,0.725,14
I,0.725,0.575,0.91,2.124,1.05,0.4515,0.85,20
F,0.34,0.57,0.34,1.8419999999999999,0.06,0.43,0.77,20
F,0.74,0.58,0.0,1.75,0.22,0.02,0.23,14
M,0.68,0.515,0.07,2.62,0.64,0.02,0.41,12
M,0.45,0.28,0.53,0.65,1.33,0.54,0.63,14
F,0.17,0.56,0.83,1.02,0.57,0.24,0.44,7
M,0.21,0.37,0.92,0.44,0.83,0.1,0.74,8
M,0.1,0.16,0.96,0.7759999999999999,0.43,0.74,0.01,8
I,0.54,0.46,0.86,0.048,1.07,0.55,0.76,5
I,0.36,0.57,0.09,2.72,0.97,0.18,0.15,7
I,0.74,0.16,0.92,0.4,0.15,0.0375,0.73,5
F,0.5,0.55,0.42,0.74,1.16,0.0475,0.53,8
I,0.62,0.63,0.34,0.71,1.05,0.53,0.61,4
F,0.58,0.31,0.7,2.66,0.24,0.03,0.08,11
M,0.25,0.07,0.45,0.07,1.35,0.38,0.5,14
I,0.56,0.33,0.7,1.25,1.23,0.08,0.45,21
F,0.7,0.47,0.87,1.0235,1.05,0.268,0.3,10
I,0.14,0.32,1.1,1.0165,0.38,0.02,0.02,10
M,0.46,0.55,0.11,2.01,0.621,0.19,0.6,12
M,0.63,0.47,0.19,0.98,1.29,0.66,0.5,13
M,0.63,0.48,0.15,0.32,0.392,0.73,0.1,12
F,0.24,0.5,0.03,1.383,1.26,0.34,0.38,10
M,0.55,0.53,0.81,2.63,0.53,0.21,0.07,11
M,0.585,0.61,0.06,1.43,0.08,0.58,0.08,9
I,0.69,0.48,0.18,0.59,0.28,0.27,0.58,13
M,0.79,0.07,0.63,1.0225,0.71,0.58,0.07,12
F,0.56,0.07,0.17,0.927,0.276,0.31,0.94,14
I,0.64,0.56,0.36,0.22,0.41,0.06,0.41,8
F,0.34,0.51,0.14,2.26,0.36,0.1965,0.34,10
I,0.18,0.2,0.155,1.59,0.99,0.62,0.67,12
I,0.41,0.1,0.63,0.27,1.38,0.145,0.46,11
M,0.64,0.22,1.05,0.58,0.44,0.54,0.465,16
F,0.56,0.45,0.16,0.71,0.29,0.2,1.0,15
M,0.46,0.46,0.185,1.85,1.47,0.24,0.68,10
I,0.41,0.345,0.94,0.91,0.01,0.48,0.1,9
F,0.56,0.61,0.6,0.825,0.17,0.37,0.58,13
F,0.54,0.3,0.35,1.02,0.23399999999999999,0.43,0.89,12
M,0.23,0.435,0.17,0.01,0.23,0.68,0.6,13
F,0.6,0.29,0.53,2.61,0.171,0.05,0.43,8
F,0.72,0.58,0.6,0.38,1.35,0.29,0.16,9
I,0.72,0.3,0.11,2.66,0.66,0.27,0.12,9
I,0.34,0.17,0.11,2.7,0.1495,0.085,0.92,8
I,0.57,0.12,0.17,1.62,0.94,0.54,0.97,13
F,0.21,0.63,1.12,1.33,0.122,0.04,0.08,7
I,0.62,0.52,0.145,0.71,1.3,0.65,0.69,10
I,0.4,0.43,0.96,0.9,0.0755,0.34,0.92,7
F,0.41,0.14,0.46,0.86,0.04,0.57,0.82,12
M,0.69,0.405,0.17,1.93,1.25,0.64,0.205,9
M,0.29,0.395,0.16,1.17,1.17,0.128,0.19,14
I,0.42,0.45,0.14,1.27,0.244,0.28,0.14,10
I,0.78,0.11,0.41,0.38,0.5,0.08,0.83,8
I,0.76,0.3,0.23,0.45,0.64,0.54,0.04,7
I,0.45,0.31,0.135,0.501,0.39,0.09,0.165,10
M,0.65,0.25,0.91,2.56,0.1305,0.03,0.32,8
M,0.77,0.26,0.05,1.74,1.02,0.58,0.57,9
I,0.47,0.32,0.145,0.5175,0.13,0.54,0.1,11
F,0.14,0.27,0.91,1.69,1.21,0.51,0.31,9
M,0.76,0.2,0.08,2.76,1.41,0.63,0.28,11
M,0.57,0.48,0.02,0.3265,0.1285,0.21,0.84,10
M,0.5,0.29,0.135,0.45,0.29,0.1055,0.155,9
I,0.39,0.62,0.81,2.8,0.121,0.59,0.43,7
I,0.365,0.27,0.45,2.39,0.65,0.49,0.55,7
F,0.61,0.24,0.22,0.07,0.40399999999999997,0.48,0.76,11
F,0.53,0.38,0.34,2.5,0.11,0.158,0.54,15
M,0.57,0.445,0.135,0.836,0.11,0.19,0.275,13
M,0.39,0.46,1.04,1.08,0.65,0.71,0.325,14
F,0.25,0.27,1.08,0.01,0.496,0.74,0.35,22
I,0.79,0.6,1.08,0.1155,0.0485,0.028999999999999998,0.59,7
F,0.44,0.35,0.93,1.42,0.95,0.52,0.31,12
M,0.68,0.37,0.18,2.73,0.0485,0.57,0.84,9
F,0.31,0.055,0.72,0.002,0.7,0.74,0.47,1
I,0.13,0.21,0.03,0.77,1.27,0.4,0.54,3
I,0.47,0.42,0.03,0.008,1.48,0.29,0.43,3
I,0.16,0.12,0.17,0.021,0.03,0.0045,0.09,5
I,0.25,0.62,0.8,1.51,0.42,0.05,0.275,17
M,0.17,0.62,0.02,0.12,0.11,0.27,0.42,5
M,0.53,0.175,0.79,2.42,0.026000000000000002,0.0105,0.02,5
F,0.13,0.13,0.99,1.27,0.44,0.0265,0.71,8
I,0.54,0.255,0.47,0.01,0.29,0.39,0.06,8
I,0.38,0.3,0.76,2.74,0.47,0.0345,0.64,10
I,0.8,0.44,0.69,0.83,0.89,0.17,0.42,13
M,0.42,0.11,0.29,1.5,0.65,0.14,0.04,9
M,0.32,0.245,1.12,2.72,1.21,0.07,0.71,7
F,0.76,0.18,0.01,1.01,0.83,0.31,0.23,7
M,0.5,0.25,0.1,1.75,0.48,0.035,0.24,7
M,0.79,0.34,0.13,2.81,0.06,0.75,0.36,13
F,0.595,0.43,0.91,0.43,0.7,0.48,0.3,12
F,0.8,0.51,0.24,2.58,1.21,0.23,0.345,15
F,0.49,0.495,0.82,1.86,1.44,0.2775,0.89,15
M,0.2,0.58,0.18,1.23,1.25,0.25,0.44,15
I,0.56,0.45,0.185,1.07,0.65,0.41,0.03,19
M,0.545,0.59,0.88,2.79,1.29,0.47,0.89,10
I,0.635,0.505,0.64,2.39,0.14,0.73,0.57,15
F,0.22,0.39,0.82,2.66,0.4775,0.59,0.89,13
M,0.56,0.33,0.69,0.17,0.11,0.47,0.6,11
F,0.57,0.44,0.02,0.09,1.12,0.1725,0.79,12
I,0.53,0.22,0.67,1.33,0.64,0.239,0.21,11
I,0.245,0.34,0.06,0.095,0.0445,0.52,0.62,4
I,0.64,0.58,0.34,1.96,1.22,0.75,0.94,6
F,0.46,0.46,0.63,2.08,0.62,0.1525,0.4,11
F,0.37,0.14,0.15,2.69,1.26,0.52,0.39,14
I,0.44,0.46,0.11,0.2925,0.48,0.28,0.0905,8
M,0.59,0.13,0.62,1.67,0.24,0.0885,0.96,9
F,0.45,0.34,0.66,0.62,1.12,0.62,0.79,13
M,0.7,0.08,0.56,0.24,0.67,0.2,0.42,22
I,0.14,0.26,0.22,1.187,0.83,0.2705,0.74,16
F,0.22,0.28,0.38,1.57,0.3875,0.1,0.08,14
I,0.63,0.29,0.94,1.3,0.81,0.54,0.71,15
I,0.5,0.515,0.155,2.25,1.36,0.3,0.81,13
M,0.15,0.64,0.05,2.49,1.32,0.327,0.25,22
I,0.72,0.22,0.01,1.94,1.24,0.41,0.52,12
I,0.61,0.5,0.34,0.17,1.0,0.07,0.93,18
M,0.29,0.2,0.205,1.484,0.02,0.17,0.59,20
F,0.41,0.59,0.19,0.88,1.13,0.27,0.02,11
F,0.5,0.58,0.87,0.8415,1.22,0.07,0.18,15
I,0.57,0.285,0.81,0.63,0.82,0.09,0.075,7
M,0.455,0.49,0.3,0.4495,0.82,0.10400000000000001,0.69,9
M,0.485,0.28,0.77,0.57,0.72,0.127,0.18,14
F,0.515,0.38,0.97,0.42,0.41,0.48,0.99,14
F,0.1,0.36,0.77,0.09,0.36,0.12,0.04,10
M,0.66,0.37,0.155,0.94,0.1,0.47,0.43,10
I,0.58,0.32,0.98,1.03,0.41,0.1325,0.205,17
I,0.2,0.355,0.5,0.99,0.84,0.65,0.51,9
M,0.535,0.435,0.16,0.8105,1.48,0.12,0.09,10
M,0.35,0.63,0.1,2.66,1.06,0.38,0.3,17
I,0.19,0.36,0.83,1.2765,0.17,0.27899999999999997,0.76,12
F,0.61,0.46,0.11,0.2,0.53,0.4,0.73,15
F,0.565,0.39,1.05,0.9,1.15,0.22,0.35,19
I,0.64,0.2,0.95,1.0575,0.34,0.31,0.97,26
M,0.21,0.18,0.18,2.37,0.79,0.21,0.17,6
M,0.17,0.205,0.51,0.17,0.48,0.0285,0.34,6
I,0.14,0.21,1.02,0.6,0.26,0.55,0.01,4
M,0.77,0.27,1.02,0.5489999999999999,1.21,0.4,0.7,11
M,0.58,0.23,0.17,0.64,0.15,0.55,0.68,9
I,0.09,0.37,0.46,1.69,0.1455,0.21,0.66,9
M,0.18,0.37,0.32,2.19,0.322,0.48,0.44,13
I,0.67,0.64,0.07,2.47,0.23,0.35,0.07400000000000001,8
M,0.33,0.62,0.15,0.217,0.0,0.38,0.0715,6
M,0.75,0.36,0.84,0.45,1.49,0.01,0.15,10
M,0.32,0.07,0.06,2.02,1.05,0.74,0.99,4
F,0.19,0.61,0.68,1.06,1.12,0.49,0.83,3
F,0.44,0.515,0.59,2.29,0.47100000000000003,0.369,0.99,13
I,0.27,0.41,0.59,0.7605,0.2505,0.0,0.85,14
F,0.29,0.09,0.85,1.69,0.82,0.0,0.61,10
I,0.11,0.08,0.34,2.45,0.42,0.64,0.64,21
I,0.75,0.21,1.01,0.58,0.07,0.07,0.49,14
M,0.595,0.48,0.195,2.2,0.96,0.55,0.345,19
M,0.16,0.48,0.2,1.28,1.39,0.65,0.9,23
M,0.63,0.45,0.69,0.81,0.78,0.19,0.76,23
I,0.13,0.35,1.13,1.59,1.03,0.5,0.01,8
F,0.4,0.16,0.19,1.242,0.55,0.07,0.27,14
F,0.25,0.35,0.1,2.43,0.1465,0.43,0.44,10
M,0.58,0.455,0.8,2.36,0.55,0.48,0.79,18
M,0.33,0.54,0.095,0.172,1.19,0.41,0.06,6
I,0.6,0.1,0.06,2.17,0.66,0.5,0.98,5
I,0.5,0.145,0.4,1.22,0.31,0.71,0.76,4
I,0.61,0.54,0.21,0.2845,1.23,0.73,0.1,11
I,0.29,0.6,0.46,1.41,0.2,0.38,0.53,5
M,0.65,0.56,0.86,0.65,0.84,0.08,0.84,7
I,0.16,0.59,1.13,2.24,0.09699999999999999,0.053,0.65,7
F,0.23,0.19,0.1,0.1755,0.24,0.3,0.7,7
F,0.51,0.42,0.13,1.4,0.48,0.32,0.75,12
I,0.36,0.63,0.22,0.31,0.2,0.2,0.62,8
I,0.36,0.28,0.8,1.04,1.44,0.33,0.09,8
I,0.62,0.13,0.96,1.84,0.41,0.04,0.48,12
M,0.22,0.53,0.8,0.4,0.134,0.17,0.89,8
F,0.54,0.55,0.92,2.43,1.19,0.18,0.98,5
I,0.65,0.6,0.25,0.0705,0.76,0.05,0.91,5
I,0.14,0.64,0.33,1.56,0.598,0.63,0.71,16
I,0.57,0.65,0.22,1.15,0.55,0.39,0.61,11
I,0.6,0.21,0.73,0.86,0.40299999999999997,0.45,0.37,14
F,0.64,0.45,0.76,1.48,0.95,0.07,0.425,16
M,0.2,0.18,0.07,1.325,0.6045,0.42,0.33,13
M,0.565,0.17,0.195,1.65,1.4,0.05,0.21,15
I,0.2,0.14,0.38,2.74,0.99,0.32,0.35,14
F,0.44,0.65,0.9,2.46,0.4775,0.07,0.52,14
I,0.55,0.61,1.02,1.25,0.59,0.43,0.32,12
I,0.62,0.27,0.4,0.99,1.3,0.3,0.17,12
M,0.41,0.425,0.155,1.35,0.3005,0.25,0.97,8
F,0.39,0.43,0.72,0.7070000000000001,0.72,0.13,0.18,13
F,0.31,0.31,0.54,0.7559999999999999,0.2745,0.26,0.275,9
M,0.38,0.43,0.93,0.2,1.04,0.0555,0.055,6
M,0.1,0.6,0.115,2.17,0.51,0.35,0.09,8
F,0.61,0.42,0.55,1.2,0.96,0.4,0.55,14
I,0.35,0.495,0.45,1.153,0.65,0.69,0.245,8
F,0.44,0.4,0.93,0.8685,1.02,0.18,0.27,22
I,0.12,0.52,0.73,0.9535,0.4465,0.2065,0.86,12
I,0.58,0.29,0.52,0.75,0.95,0.35,0.2,9
F,0.65,0.21,0.17,1.88,1.45,0.28600000000000003,0.89,16
M,0.11,0.58,0.93,0.31,0.97,0.46,0.59,20
I,0.71,0.15,0.44,1.587,0.6935,0.1,0.395,13
I,0.645,0.59,0.87,1.82,1.41,0.3885,0.6,18
M,0.745,0.42,0.85,1.46,0.15,0.7,0.7,17
F,0.685,0.48,0.2,2.36,0.28,0.392,0.94,16
I,0.74,0.49,0.42,2.11,0.01,0.35,0.35,18
F,0.32,0.23,0.15,1.12,0.392,0.52,0.34,12
I,0.41,0.52,0.175,1.4225,0.61,0.2995,0.9,20
F,0.14,0.56,0.63,0.74,0.4085,0.29,0.295,16
I,0.62,0.58,0.24,0.47,1.45,0.47,0.35,12
M,0.33,0.55,0.46,0.29,1.08,0.68,0.64,19
M,0.74,0.2,0.66,2.08,0.4405,0.1655,0.66,11
F,0.58,0.62,0.12,1.0735,0.479,0.52,0.45,10
M,0.28,0.49,0.69,1.13,0.82,0.2765,0.39,12
M,0.69,0.38,0.215,1.09,0.54,0.54,0.58,17
I,0.31,0.545,0.38,0.27,0.6645,0.27,0.72,16
I,0.7,0.27,0.195,1.42,1.47,0.57,0.82,16
F,0.12,0.07,0.58,2.6,0.585,0.37,0.91,19
F,0.57,0.575,0.07,2.48,0.01,0.63,0.64,14
F,0.15,0.52,0.87,1.3430000000000002,0.03,0.71,0.53,13
F,0.34,0.43,1.07,1.45,0.6845,0.37,0.93,20
M,0.12,0.59,0.42,1.1775,0.1,0.3365,0.58,11
F,0.3,0.56,0.64,2.12,0.72,0.2875,0.64,10
I,0.17,0.61,0.175,0.71,0.81,0.55,0.37,15
F,0.61,0.46,0.52,2.5,0.3705,0.3135,0.33,12
F,0.605,0.06,0.14,0.56,0.85,0.6,0.37,15
M,0.37,0.42,0.145,2.33,1.35,0.75,0.16,10
M,0.64,0.17,0.46,0.74,0.75,0.42,0.2,10
I,0.72,0.26,0.24,2.71,0.29,0.122,0.28,12
M,0.34,0.425,0.16,1.76,1.03,0.23,0.8,10
I,0.455,0.09,0.77,2.16,0.21600000000000003,0.1245,0.22,9
I,0.69,0.31,0.155,2.53,0.3515,0.152,0.16,12
M,0.22,0.08,0.49,0.48200000000000004,0.207,0.56,0.22,10
I,0.5,0.42,0.2,1.58,1.47,0.1435,0.6,14
F,0.465,0.59,0.4,1.86,1.4,0.57,0.74,9
M,0.75,0.325,0.1,1.89,0.1535,0.0595,0.105,10
I,0.48,0.35,0.3,2.38,0.27699999999999997,0.115,0.49,10
M,0.64,0.13,0.73,0.9,1.12,0.05,0.18,10
I,0.15,0.295,0.095,0.2,0.31,0.0545,0.97,9
F,0.21,0.54,0.68,0.4,0.75,0.65,0.52,6
F,0.45,0.64,0.1,0.03,0.04,0.48,0.71,11
M,0.59,0.06,0.59,0.91,0.3165,0.22,0.92,10
F,0.47,0.28,0.15,2.03,0.2,0.14400000000000002,0.42,8
I,0.57,0.44,1.09,1.35,0.32,0.1,0.34,12
I,0.42,0.21,0.07,0.987,0.51,0.69,0.1,11
F,0.4,0.37,0.43,2.78,0.27,0.131,0.28,9
F,0.6,0.63,0.86,0.7225,1.48,0.31,0.235,9
I,0.14,0.63,0.98,0.4335,0.17800000000000002,0.63,0.155,7
M,0.47,0.07,1.11,0.6935,0.04,0.4,0.07,10
I,0.64,0.18,0.11,0.365,0.1655,0.55,0.34,7
F,0.37,0.56,0.17,2.62,0.3685,0.7,0.63,12
I,0.65,0.58,0.115,1.34,0.2125,0.1045,0.22,8
M,0.22,0.21,0.12,1.64,0.39,0.09,0.08,16
M,0.33,0.32,0.145,2.69,0.4,0.55,0.5,11
M,0.57,0.56,0.34,1.35,0.3395,0.64,0.32,8
M,0.79,0.62,0.165,1.15,0.4565,0.2425,0.34,15
I,0.71,0.475,0.55,1.7,0.58,0.2115,0.28,14
M,0.16,0.53,0.9,2.23,0.1,0.48,0.28,11
M,0.18,0.12,0.12,0.8565,0.3475,0.3,0.51,12
F,0.55,0.28,0.05,0.35,1.25,0.75,0.77,14
I,0.68,0.47,0.52,2.58,0.52,0.19,0.95,15
M,0.63,0.5,0.68,2.27,1.25,0.69,0.4,20
I,0.3,0.19,0.165,0.23,0.24,0.349,0.48,20
I,0.63,0.53,0.155,0.61,0.14,0.7,0.45,16
F,0.68,0.41,0.79,0.61,0.223,0.16,0.43,13
F,0.42,0.14,0.85,1.5015,0.34,0.5,0.26,14
M,0.11,0.16,0.12,2.31,1.29,0.49,0.17,11
F,0.57,0.14,0.135,0.28,0.26,0.34,0.12,13
F,0.29,0.21,0.96,1.08,0.036000000000000004,0.0235,0.035,8
