Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.46,0.41,1.01,0.9,0.2385,0.42,0.93,8
F,0.22,0.5,0.81,0.303,0.62,0.61,0.63,7
M,0.27,0.36,0.13,0.5415,0.72,0.24,0.2,10
F,0.78,0.33,0.12,1.45,0.77,0.34,0.15,10
F,0.405,0.31,0.1,2.74,0.54,0.37,0.52,7
F,0.09,0.25,0.34,0.28,0.2565,0.02,0.22,8
M,0.5,0.35,0.79,0.4425,0.06,0.63,0.135,8
M,0.47,0.385,1.01,0.17,1.07,0.39,0.17,8
I,0.29,0.19,0.36,2.23,0.042,0.24,0.17,4
F,0.505,0.4,0.83,2.01,0.24600000000000002,0.51,0.175,7
M,0.43,0.345,0.105,0.4115,0.18,0.32,0.77,7
F,0.505,0.405,0.11,2.15,1.04,0.16,0.48,9
F,0.28,0.24,0.07,2.76,0.302,0.59,0.88,10
I,0.425,0.325,0.32,2.16,1.3,0.3,0.1,7
M,0.7,0.4,1.01,0.58,0.77,0.1315,0.28,8
F,0.42,0.355,0.12,2.5,1.27,0.36,0.135,8
F,0.71,0.44,0.04,2.5,0.93,0.1935,0.81,12
F,0.58,0.495,0.185,2.04,1.35,0.22399999999999998,1.0,13
F,0.68,0.3,0.12,0.99,0.2135,0.1155,0.62,10
F,0.63,0.6,0.44,0.151,1.39,0.29,0.94,6
M,0.555,0.27,0.13,0.7665,1.46,0.65,0.275,13
I,0.13,0.32,0.61,0.353,0.1405,0.23,0.1,8
M,0.52,0.6,0.44,0.87,0.84,0.225,0.39,20
F,0.79,0.23,0.22,1.185,0.71,0.0,0.08,11
F,0.37,0.55,0.195,1.0979999999999999,0.83,0.0,0.315,13
F,0.6,0.475,1.07,1.0075,1.25,0.45,0.55,15
M,0.8,0.41,0.14,0.22,0.3625,0.18899999999999997,0.315,9
M,0.44,0.64,0.53,0.0,1.38,0.11,0.305,10
M,0.61,0.29,0.44,0.94,0.282,0.66,0.285,11
F,0.49,0.475,0.17,2.79,0.4695,0.56,0.01,14
F,0.71,0.56,0.08,0.9,0.73,0.03,0.285,9
M,0.74,0.6,0.175,1.615,0.21,0.5,0.26,12
F,0.52,0.29,0.165,1.08,0.396,0.225,0.7,16
F,0.71,0.475,0.16,0.96,0.61,0.4,0.34,21
M,0.38,0.4,0.69,0.86,0.43,0.45,0.36,14
M,0.76,0.465,0.81,1.76,0.8,0.42,0.98,12
M,0.625,0.34,0.14,1.195,0.57,0.71,0.79,13
M,0.5,0.14,0.71,2.51,0.35,0.66,0.67,10
F,0.28,0.49,1.03,0.517,0.56,0.114,0.83,9
I,0.57,0.34,0.16,1.56,0.63,0.12,0.33,12
M,0.58,0.41,0.135,0.8115,0.9,0.54,0.255,15
I,0.76,0.44,0.52,0.755,0.307,0.1,0.26,12
M,0.63,0.36,0.175,1.115,0.86,0.36,0.01,13
F,0.625,0.42,0.66,1.262,0.94,0.67,0.39,10
M,0.49,0.56,0.29,1.494,0.588,0.31,0.27,15
M,0.25,0.07,0.195,1.6059999999999999,0.56,0.38799999999999996,0.21,14
I,0.8,0.18,0.92,0.725,0.38,0.1385,0.81,9
F,0.53,0.07,0.22,0.523,0.214,0.01,0.145,8
F,0.47,0.61,0.13,0.81,0.58,0.42,0.89,7
F,0.72,0.29,0.36,1.1,0.47,0.38,0.32,10
M,0.79,0.265,0.07,1.65,0.105,0.01,0.19,7
M,0.55,0.435,0.145,2.33,0.32799999999999996,0.15,0.255,15
I,0.12,0.56,0.43,2.03,0.58,0.13,0.44,15
F,0.35,0.18,0.14,0.7240000000000001,0.72,0.66,0.24,10
M,0.12,0.47,0.4,2.23,1.14,0.2405,0.345,12
I,0.52,0.29,0.155,0.727,1.36,0.24,0.87,12
F,0.54,0.43,0.01,0.802,0.73,0.183,0.27,11
I,0.2,0.4,0.18,0.6675,0.91,0.55,0.22,10
F,0.51,0.6,0.17,2.73,1.43,0.179,0.09,9
F,0.435,0.42,0.53,0.3635,1.07,0.4,0.22,9
F,0.19,0.25,0.125,0.5415,0.21,0.1345,0.155,9
F,0.465,0.1,0.105,0.431,0.97,0.15,0.01,9
M,0.53,0.32,0.63,0.16,0.1485,0.0635,0.105,9
M,0.425,0.09,0.26,0.39299999999999996,0.13,0.53,0.92,9
M,0.78,0.21,1.12,0.2,0.98,0.146,0.21,11
F,0.53,0.33,1.08,0.3,0.93,0.02,0.18,11
F,0.23,0.375,1.03,0.6125,0.2555,0.102,0.22,11
F,0.44,0.53,0.105,0.402,0.1305,0.0955,0.93,10
F,0.59,0.43,0.4,1.91,0.14,0.172,0.31,9
F,0.08,0.305,0.5,2.04,0.3,0.0595,0.32,8
M,0.81,0.52,0.105,2.17,0.32,0.69,0.4,9
I,0.385,0.56,0.4,1.15,0.10300000000000001,0.0575,0.75,7
F,0.57,0.54,0.14,0.7659999999999999,0.83,0.44,0.07,14
M,0.45,0.32,1.03,0.13,1.03,0.07,0.07,6
I,0.35,0.18,0.26,0.42,0.94,0.0505,0.36,6
I,0.7,0.58,0.06,2.02,0.05,0.27,0.16,5
I,0.8,0.1,0.26,0.23800000000000002,1.48,0.06,0.5,6
I,0.385,0.57,0.94,0.29,1.15,0.04,0.1,8
M,0.17,0.535,0.74,1.71,0.63,0.36,0.54,19
M,0.71,0.35,0.165,2.1,0.7665,0.62,0.46,18
M,0.595,0.08,0.31,0.93,1.09,0.28300000000000003,0.72,17
F,0.44,0.21,0.125,2.71,0.36,0.61,0.129,9
F,0.73,0.59,1.06,0.1915,0.085,0.53,0.3,7
I,0.26,0.52,0.49,2.71,0.086,0.47,0.068,7
I,0.33,0.2,0.065,1.23,0.79,0.68,0.41,7
F,0.61,0.25,0.47,0.53,0.27,0.6,0.1355,8
I,0.305,0.54,0.08,0.02,0.0675,0.64,0.79,7
M,0.65,0.255,0.23,1.06,1.28,0.0295,0.55,9
F,0.405,0.59,0.11,0.3555,0.151,0.063,0.11699999999999999,9
M,0.375,0.285,0.095,0.42,0.096,0.0575,0.38,9
I,0.26,0.445,0.155,2.8,0.8,0.35,0.57,10
M,0.55,0.45,0.01,2.33,0.295,0.1435,0.43,10
I,0.65,0.52,0.75,2.01,0.27,0.306,0.4465,16
F,0.68,0.29,0.6,0.96,0.25,0.32,0.44,11
M,0.36,0.35,0.13,0.5175,0.58,0.1165,0.34,10
M,0.22,0.65,0.125,0.96,0.09,0.1075,0.174,10
M,0.56,0.58,0.12,1.03,0.22399999999999998,0.10800000000000001,0.31,10
I,0.8,0.59,0.08,0.127,0.052000000000000005,0.17,0.71,9
I,0.46,0.52,0.055,0.0315,0.0105,0.58,0.79,5
M,0.77,0.26,0.095,0.03,0.013000000000000001,0.56,0.81,4
F,0.16,0.475,0.61,2.78,0.28,0.38,0.325,15
M,0.605,0.28,0.36,1.21,0.469,0.2585,0.93,9
M,0.17,0.515,0.19,1.35,0.06,0.305,0.64,10
F,0.62,0.48,0.16,1.0565,0.35,0.2355,0.355,10
I,0.565,0.07,0.79,0.58,0.54,0.7,0.31,12
M,0.64,0.54,0.82,2.1,0.53,0.131,0.21,10
F,0.16,0.13,0.58,0.9940000000000001,0.392,0.2425,0.35,13
M,0.51,0.42,0.51,1.514,1.23,0.0,0.22,16
I,0.44,0.455,0.3,0.9075,0.48,0.18,0.285,13
I,0.65,0.07,0.165,1.19,0.2985,0.68,0.21,13
M,0.605,0.21,0.77,1.54,0.7,0.31,0.92,13
F,0.48,0.485,0.16,0.74,1.47,0.2575,0.28,13
I,0.21,0.485,0.45,0.54,1.14,0.19,0.43,12
F,0.49,0.45,0.43,2.16,0.65,0.39799999999999996,1.005,18
I,0.21,0.38,0.77,1.7519999999999998,1.3,0.2895,0.815,16
M,0.725,0.58,0.19,1.19,1.45,0.73,0.725,14
F,0.725,0.575,0.83,2.124,0.765,0.4515,0.85,20
F,0.34,0.57,0.34,1.8419999999999999,0.625,0.73,0.57,20
F,0.47,0.21,0.0,1.75,0.22,0.02,0.53,14
F,0.68,0.515,0.48,1.5,0.64,0.02,0.41,12
M,0.45,0.18,0.53,0.65,0.7125,0.54,0.82,14
F,0.17,0.56,0.18,0.775,0.308,0.24,0.255,7
M,0.3,0.51,0.92,0.44,0.83,0.13,0.285,8
F,0.09,0.16,0.96,0.7759999999999999,0.43,0.74,0.01,8
I,0.235,0.48,0.86,0.048,1.07,0.55,1.0,5
I,0.36,0.26,0.09,2.72,1.01,0.18,0.66,7
I,0.74,0.16,0.03,0.53,0.15,0.0375,0.73,5
I,0.315,0.55,0.085,0.1435,1.48,0.0475,0.62,8
M,0.64,0.63,0.34,0.43,1.05,0.53,0.61,4
M,0.58,0.475,0.7,1.38,1.44,0.03,0.08,11
M,0.25,0.4,0.81,0.9395,1.49,0.38,0.69,14
I,0.56,0.37,0.27,1.25,1.23,0.08,0.57,21
F,0.7,0.47,0.87,1.0235,1.05,0.268,0.3,10
I,0.22,0.32,1.1,1.0165,0.4355,0.214,0.3,10
F,0.46,0.55,0.11,2.01,0.621,0.19,0.6,12
M,0.52,0.49,0.19,0.98,1.27,0.66,0.5,13
F,0.63,0.48,0.15,1.29,0.392,0.15,0.1,12
F,0.24,0.5,1.05,1.383,0.64,0.43,0.38,10
M,0.29,0.52,0.81,2.63,0.53,0.27,0.12,11
I,0.585,0.46,0.17,1.39,0.08,0.19,0.08,9
F,0.69,0.48,0.18,0.59,0.4845,0.01,0.58,13
M,0.61,0.55,0.17,1.0225,0.17,0.71,0.07,12
M,0.56,0.07,0.17,0.927,0.276,0.31,0.94,14
I,0.355,0.56,0.36,0.22,1.4,0.06,0.24,8
F,0.51,0.51,0.14,2.26,1.32,0.1965,0.36,10
I,0.5,0.2,0.155,1.92,0.34600000000000003,0.61,0.67,12
I,0.41,0.1,0.63,1.26,0.53,0.145,0.46,11
M,0.64,0.5,0.94,0.58,0.44,0.56,0.465,16
F,0.56,0.45,0.16,0.922,0.29,0.28,0.26,15
I,0.46,0.46,0.185,2.01,0.09,0.75,0.19,10
F,0.45,0.345,0.94,0.91,0.01,0.48,0.76,9
F,0.56,0.4,0.165,0.825,0.17,0.205,0.27,13
I,0.5,0.3,0.145,1.47,0.23399999999999999,0.08,0.89,12
F,0.23,0.435,0.17,0.01,0.23,0.68,0.6,13
F,0.6,0.29,0.49,2.61,0.171,0.05,0.43,8
F,0.72,0.58,0.57,1.49,1.02,0.41,0.16,9
I,0.28,0.3,0.11,2.66,1.35,0.27,0.12,9
I,0.34,0.34,0.11,1.67,0.1495,0.085,0.12,8
I,0.48,0.09,0.17,1.2,0.2755,0.1685,0.31,13
I,0.21,0.28,1.12,0.2655,0.122,0.32,0.08,7
F,0.62,0.365,0.145,0.6345,0.1995,0.15,0.22,10
I,0.1,0.43,0.09,1.41,0.0755,0.34,0.92,7
F,0.31,0.48,0.46,0.38,0.1595,0.7,0.82,12
M,0.5,0.405,0.14,1.93,0.73,0.1355,0.205,9
M,0.29,0.395,0.16,1.17,1.17,0.128,0.19,14
F,0.42,0.45,0.14,1.27,0.244,0.28,0.66,10
I,0.45,0.11,0.12,0.38,0.174,0.08,0.83,8
I,0.76,0.3,0.23,0.45,0.1265,0.54,0.98,7
F,0.45,0.35,0.135,0.501,1.01,0.115,0.165,10
F,0.65,0.305,0.91,1.31,0.1305,0.03,0.32,8
M,0.77,0.26,0.05,1.74,1.02,0.65,0.57,9
M,0.47,0.32,0.145,0.5175,0.26,0.54,0.54,11
F,0.71,0.27,0.17,1.44,1.47,0.51,0.31,9
I,0.76,0.355,0.08,1.94,0.75,0.02,0.74,11
F,0.57,0.48,0.02,0.3265,0.1285,0.21,0.84,10
M,0.5,0.29,0.135,0.45,1.18,0.1055,0.155,9
I,0.39,0.62,0.81,2.8,0.121,0.59,0.28,7
I,0.365,0.27,0.085,2.39,1.23,0.24,0.55,7
F,0.58,0.24,0.8,0.07,0.40399999999999997,0.48,0.35,11
F,0.53,0.57,0.34,2.5,0.2935,0.158,0.88,15
M,0.555,0.445,0.135,0.836,0.336,0.32,0.275,13
I,0.39,0.46,0.83,1.08,0.65,0.71,0.325,14
F,0.25,0.505,0.92,0.01,0.496,0.74,0.35,22
I,0.79,0.6,1.08,0.1155,0.0485,0.028999999999999998,0.95,7
F,0.44,0.35,0.93,1.42,0.95,0.36,0.125,12
M,0.295,0.37,0.08,2.73,0.0485,0.57,0.55,9
M,0.31,0.055,0.72,0.002,0.7,0.74,0.0015,1
M,0.13,0.56,0.03,0.77,1.27,0.4,0.004,3
F,0.11,0.42,0.03,0.008,1.48,0.45,0.43,3
I,0.16,0.12,0.035,0.021,0.03,0.0045,0.09,5
I,0.18,0.425,0.8,1.51,1.15,0.05,0.275,17
M,0.17,0.2,0.68,0.12,0.11,0.66,0.035,5
M,0.53,0.175,0.065,2.42,0.026000000000000002,0.0105,0.02,5
F,0.42,0.23,0.56,1.0,1.26,0.0265,0.42,8
I,0.48,0.255,0.47,1.5,0.063,0.39,0.06,8
I,0.13,0.23,0.68,0.82,1.16,0.0345,0.06,10
I,0.8,0.245,0.08,0.1585,0.89,0.2,0.91,13
M,0.76,0.62,0.29,2.4,1.13,0.19,0.04,9
M,0.32,0.245,0.59,2.06,1.21,0.07,0.36,7
F,0.38,0.18,0.01,0.36,0.83,0.47,0.23,7
M,0.5,0.25,0.105,2.5,1.3,0.035,0.24,7
M,0.35,0.34,0.25,2.81,0.06,0.46,0.36,13
M,0.595,0.21,1.1,0.56,0.7,0.48,0.3,12
F,0.8,0.46,0.185,1.32,0.19,0.05,0.345,15
F,0.49,0.495,0.82,1.2415,0.61,0.2775,0.96,15
F,0.2,0.45,0.18,0.82,1.25,0.25,0.44,15
I,0.25,0.45,0.185,1.07,0.65,0.41,0.03,19
M,0.545,0.46,0.79,0.23,0.92,0.47,0.345,10
I,0.635,0.505,0.64,2.44,0.605,0.73,0.365,15
F,0.64,0.23,0.94,2.66,0.4775,0.59,0.12,13
M,0.56,0.475,0.35,0.17,0.11,0.05,0.6,11
F,0.57,0.44,0.02,0.51,1.23,0.1725,0.79,12
M,0.53,0.22,0.165,1.33,0.319,0.239,0.245,11
I,0.245,0.34,0.06,0.095,0.0445,0.0245,0.62,4
M,0.64,0.2,0.34,1.96,1.11,0.74,0.65,6
F,0.46,0.12,0.13,2.08,0.62,0.1525,0.4,11
F,0.37,0.14,0.15,2.22,1.36,0.18600000000000003,0.39,14
I,0.24,0.65,0.11,0.2925,0.48,0.28,0.0905,8
M,0.59,0.15,0.87,1.79,0.24,0.0885,0.255,9
F,0.45,0.63,0.66,0.4995,1.12,0.27,0.79,13
F,0.7,0.08,0.58,0.24,0.3,0.2,0.55,22
I,0.59,0.26,0.22,1.187,0.83,0.2705,0.74,16
M,0.62,0.58,0.68,1.19,0.3875,0.1,0.08,14
I,0.63,0.1,0.94,0.93,0.9,0.3335,0.44,15
F,0.59,0.515,0.155,2.25,0.86,0.3,0.41,13
M,0.655,0.64,0.05,1.28,0.7425,0.327,0.585,22
I,0.72,0.22,0.185,0.87,1.24,0.27,0.52,12
M,0.61,0.5,0.34,0.17,0.532,0.55,0.93,18
M,0.635,0.525,0.205,1.484,0.02,0.66,0.43,20
F,0.7,0.6,0.66,0.88,0.2665,0.63,0.02,11
F,0.77,0.58,0.29,0.8415,1.22,0.03,0.3,15
I,0.57,0.285,0.63,0.63,0.82,0.057,0.075,7
I,0.455,0.57,0.3,0.4495,0.82,0.10400000000000001,0.15,9
M,0.485,0.28,0.14,0.57,1.44,0.127,0.225,14
M,0.515,0.38,0.63,0.42,0.26,0.48,0.99,14
F,0.1,0.36,0.77,0.09,0.36,0.1965,0.89,10
M,0.66,0.57,0.155,0.94,0.1,0.43,0.43,10
I,0.495,0.32,0.5,0.61,0.41,0.1325,0.205,17
I,0.71,0.355,0.5,2.12,0.132,0.38,0.94,9
M,0.535,0.435,0.16,0.8105,1.22,0.12,0.05,10
M,0.35,0.63,0.18,2.66,1.3,0.47,0.3,17
F,0.565,0.36,0.57,1.2765,1.45,0.27899999999999997,0.03,12
M,0.61,0.46,0.11,1.1159999999999999,0.53,0.57,0.82,15
F,0.565,0.2,1.05,0.9,0.342,0.207,0.35,19
M,0.6,0.2,0.95,1.0575,0.34,0.31,0.97,26
F,0.295,0.18,0.18,2.37,0.79,0.11,0.17,6
M,0.6,0.205,0.51,0.17,0.045,0.0285,0.32,6
I,0.14,0.21,1.02,2.68,0.26,0.55,0.01,4
M,0.77,0.395,0.88,0.5489999999999999,1.21,0.1275,0.7,11
M,0.58,0.28,0.17,0.64,0.01,0.55,0.68,9
I,0.09,0.37,0.92,1.69,0.1455,0.0895,0.1,9
M,0.18,0.37,0.32,0.892,0.322,0.48,0.335,13
M,0.67,0.28,0.1,0.252,0.1065,0.35,0.07400000000000001,8
M,0.36,0.62,0.24,0.217,0.95,0.73,0.0715,6
I,0.47,0.36,0.84,0.47200000000000003,1.49,0.01,0.15,10
M,0.2,0.07,0.06,2.02,1.05,0.74,0.99,4
F,0.19,0.61,0.68,0.0215,1.12,0.49,0.005,3
F,0.645,0.515,0.59,2.29,0.47100000000000003,0.369,0.99,13
I,0.35,0.41,0.59,0.7605,0.2505,0.0,0.85,14
F,0.57,0.09,1.03,1.69,0.82,0.0,0.61,10
M,0.63,0.61,0.12,2.45,0.36,0.64,0.71,21
I,0.75,0.44,1.01,0.86,0.44299999999999995,0.67,0.78,14
F,0.595,0.38,0.195,1.3305,0.96,0.3235,0.345,19
M,0.09,0.48,0.2,1.2255,1.42,0.05,0.66,23
M,0.63,0.45,0.175,0.81,0.78,0.2945,0.46,23
I,0.78,0.35,1.13,1.59,1.03,0.5,0.39,8
F,0.4,0.16,0.76,1.242,0.55,0.07,0.27,14
M,0.45,0.35,0.1,0.3675,0.1465,0.75,0.44,10
F,0.58,0.455,0.8,2.36,0.55,0.52,0.79,18
I,0.33,0.21,0.095,0.172,0.48,0.41,0.06,6
I,0.32,0.1,0.06,1.45,0.66,0.01,0.03,5
I,0.5,0.145,0.4,1.22,0.31,0.71,0.76,4
F,0.61,0.41,0.77,0.2845,1.23,0.07,0.1,11
I,0.28,0.6,0.49,1.41,0.2,0.38,0.53,5
M,0.25,0.2,0.87,0.65,0.5,0.04,0.84,7
I,0.355,0.64,0.29,2.24,0.09699999999999999,0.053,0.65,7
F,0.23,0.19,0.1,0.1755,0.24,0.41,0.7,7
F,0.51,0.56,0.13,1.4,0.6,0.25,0.42,12
M,0.36,0.18,0.22,0.31,0.28,0.2,0.94,8
I,0.36,0.28,0.8,1.04,0.96,0.33,0.09,8
I,0.62,0.13,0.96,2.26,0.41,0.4,0.48,12
F,0.6,0.325,0.12,0.4,0.134,0.09,0.81,8
F,0.54,0.18,0.92,2.43,0.22,0.042,0.035,5
I,0.235,0.6,0.17,0.0705,0.76,0.64,0.91,5
F,0.14,0.63,0.53,1.59,0.598,0.63,0.71,16
I,0.53,0.65,0.22,1.15,0.55,0.39,0.355,11
I,0.6,0.21,0.71,0.86,0.40299999999999997,0.58,0.37,14
F,0.22,0.45,0.76,1.2830000000000001,0.95,0.55,0.425,16
M,0.2,0.42,0.07,1.325,0.6045,0.42,0.33,13
M,0.565,0.17,0.195,1.65,0.406,0.15,0.285,15
M,0.2,0.17,0.145,1.45,0.35,0.2275,0.35,14
F,0.44,0.51,0.67,2.46,0.4775,0.73,0.52,14
I,0.51,0.61,0.98,1.274,0.63,0.3065,0.32,12
F,0.62,0.27,0.4,2.03,1.3,0.44,0.17,12
F,0.41,0.425,0.155,1.35,0.3005,0.25,0.24,8
M,0.39,0.39,0.72,0.7070000000000001,0.72,0.2185,0.18,13
F,0.31,0.31,0.57,0.7559999999999999,0.2745,0.46,0.275,9
I,0.64,0.43,0.24,0.2,0.76,0.0555,0.055,6
M,0.21,0.6,0.115,0.2715,0.51,0.35,0.09,8
F,0.61,0.42,0.55,1.2,0.96,0.1,0.28,14
F,0.35,0.495,0.185,1.153,0.65,0.2905,0.245,8
F,0.61,0.45,0.17,0.8685,0.91,0.18,0.27,22
M,0.57,0.52,0.73,0.9535,0.4465,0.2065,0.86,12
M,0.58,0.6,0.17,0.04,0.95,0.35,0.2,9
I,0.635,0.21,0.17,2.72,1.45,0.28600000000000003,0.41,16
M,0.13,0.58,0.93,0.31,0.97,0.49,0.58,20
I,0.22,0.13,0.74,1.587,0.6935,0.1,0.395,13
I,0.645,0.59,0.19,1.8085,1.26,0.3885,0.61,18
M,0.745,0.15,0.215,1.46,0.15,0.44,0.7,17
M,0.685,0.48,0.04,2.36,0.28,0.392,0.485,16
I,0.52,0.49,0.18,1.227,1.32,0.42,0.35,18
F,0.62,0.13,0.15,0.28,0.392,0.52,0.34,12
F,0.46,0.4,0.175,1.4225,0.61,0.2995,0.9,20
F,0.14,0.56,0.15,2.26,0.4085,0.29,0.295,16
I,0.62,0.58,0.28,0.47,0.4985,0.47,0.35,12
M,0.33,0.55,0.98,1.016,1.08,0.15,0.64,19
M,0.55,0.465,0.145,2.08,0.4405,0.1655,0.66,11
F,0.58,0.34,0.12,1.0735,0.479,0.54,0.265,10
F,0.72,0.49,0.69,1.13,0.82,0.2765,0.315,12
M,0.69,0.38,0.215,1.09,0.54,0.5,0.4,17
I,0.35,0.545,0.12,0.27,0.6645,0.27,0.72,16
I,0.7,0.27,0.195,1.7605,1.47,0.57,0.86,16
F,0.12,0.07,0.59,2.6,0.585,0.37,0.05,19
F,0.57,0.575,0.17,1.22,0.01,0.63,0.42,14
M,0.65,0.52,0.9,1.3430000000000002,0.51,0.292,0.92,13
F,0.34,0.44,1.07,0.41,0.6845,0.37,0.93,20
M,0.63,0.59,0.71,1.1775,0.1,0.3365,0.285,11
F,0.3,0.14,0.64,1.077,0.4995,0.2875,0.64,10
M,0.565,0.61,0.175,0.995,0.05,0.55,0.37,15
M,0.61,0.46,0.52,2.5,0.3705,0.3135,0.33,12
I,0.605,0.06,0.92,1.97,0.85,0.2805,0.37,15
I,0.08,0.42,0.145,2.4,1.35,0.75,0.16,10
M,0.15,0.17,0.86,0.74,0.64,0.42,0.2,10
M,0.42,0.26,0.24,2.82,1.19,0.122,0.28,12
M,0.34,0.425,0.16,1.76,0.373,0.23,0.8,10
F,0.455,0.29,0.105,0.4925,0.21600000000000003,0.1245,0.135,9
F,0.79,0.31,0.155,2.37,0.3515,0.152,0.215,12
M,0.57,0.08,0.135,0.48200000000000004,0.207,0.56,0.02,10
I,0.5,0.42,0.2,0.609,1.47,0.1435,0.6,14
F,0.465,0.11,0.4,1.86,1.4,0.57,0.43,9
M,0.415,0.325,0.1,1.89,0.1535,0.0595,0.105,10
F,0.48,0.55,0.125,0.593,0.27699999999999997,0.115,0.81,10
M,0.64,0.13,0.125,0.9,1.12,0.05,0.18,10
M,0.63,0.295,0.095,0.55,0.31,0.0545,0.13,9
F,0.58,0.54,0.68,0.4,0.75,0.33,0.72,6
F,0.53,0.31,0.1,0.302,0.08,0.48,0.71,11
M,0.5,0.06,0.3,0.91,0.3165,0.17600000000000002,0.92,10
F,0.47,0.28,0.15,0.5865,0.2,0.14400000000000002,0.185,8
I,0.57,0.44,0.91,1.35,0.84,0.139,0.34,12
I,0.585,0.44,0.53,0.987,0.74,0.69,0.31,11
F,0.11,0.63,0.12,0.5885,0.27,0.131,0.28,9
F,0.6,0.63,0.86,0.7225,1.48,0.1625,0.235,9
I,0.14,0.63,0.26,0.4335,0.17800000000000002,0.53,0.155,7
M,0.515,0.07,0.14,0.6935,0.92,0.4,0.2,10
I,0.41,0.18,0.11,0.365,0.1655,0.3,0.34,7
F,0.525,0.43,0.17,0.52,0.3685,0.22,0.24,12
I,0.65,0.46,0.115,1.34,0.2125,0.1045,0.15,8
M,0.22,0.55,0.12,1.64,0.39,0.66,0.29,16
M,0.33,0.35,0.145,0.88,0.4,0.55,0.12,11
M,0.57,0.56,0.34,1.38,0.3395,0.2215,0.32,8
M,0.79,0.5,0.165,2.76,0.4565,0.2425,0.34,15
I,0.71,0.475,0.55,1.06,0.74,0.2115,0.28,14
M,0.58,0.46,0.12,2.23,0.1,0.37,0.28,11
M,0.73,0.12,0.12,0.8565,0.3475,0.3,0.51,12
F,0.55,0.28,0.28,0.35,0.528,0.02,0.77,14
I,0.62,0.47,0.52,2.58,0.3605,0.51,0.36,15
M,0.63,0.5,0.68,2.27,1.25,0.69,0.4,20
I,0.3,0.515,0.165,0.23,0.488,0.349,0.48,20
I,0.63,0.53,0.155,0.34,0.32,0.11,0.25,16
