type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,7.1,0.74,1.35,42.03,0.045,54.0,113.08,0.9974,3.11,0.45,9.55,5
red,15.16,0.1,1.2,11.8,0.15,129.6,264.15,0.9975,3.05,0.63,8.7,6
white,4.86,,1.32,11.0,0.49,55.0,156.0,0.9974,3.98,1.63,8.7,6
white,6.8,0.25,0.93,13.3,0.55,65.38,410.11,0.9972,3.22,0.27,9.7,6
red,7.1,0.43,0.61,11.8,0.045,257.35,155.0,0.9974,3.1,1.62,8.7,5
white,7.1,0.57,1.05,11.8,0.044000000000000004,52.0,152.0,1.03,3.18,0.83,8.7,6
white,7.2,0.39,0.64,11.0,0.044000000000000004,55.0,156.0,0.9974,3.48,1.3,8.7,6
white,15.25,0.46,1.0,34.91,0.049,59.71,243.0,1.0,3.12,0.73,9.0,5
white,12.32,1.33,1.44,1.7,0.45,22.01,136.0,0.99,3.26,0.68,13.73,7
white,6.9,0.21,0.28,57.25,0.034,120.87,252.84,0.9899,3.76,0.41,12.6,7
white,4.91,0.17,0.32,43.47,0.25,224.66,148.0,0.99,3.21,1.45,11.5,7
white,7.1,0.26,1.24,12.4,0.45,62.0,125.02,1.0,3.04,0.42,9.2,6
white,6.0,0.29,0.66,40.78,0.046,246.94,164.0,1.01,3.14,0.5,10.44,6
white,8.6,0.265,0.57,43.45,0.11,15.0,80.0,0.9913,2.96,0.36,8.07,7
white,4.71,0.2,0.25,4.67,,4.0,83.0,1.02,3.52,0.3,10.1,4
red,4.99,1.01,0.66,1.69,0.046,127.04,164.0,1.0,3.14,0.89,8.8,6
red,7.4,0.42,0.3,29.29,0.06,52.0,431.76,1.02,3.0,1.79,9.1,5
white,5.07,0.12,0.32,9.6,0.054000000000000006,247.01,162.0,0.9962,3.4,0.41,9.4,5
white,6.0,0.21,0.24,9.47,0.05,55.0,163.94,0.99,3.34,0.39,12.54,5
red,7.5,0.305,0.4,17.63,0.059000000000000004,44.0,439.39,1.0,2.99,0.46,9.01,5
white,8.06,0.85,0.37,20.29,0.1,95.43,355.62,1.02,3.0,1.62,9.1,5
white,7.3,0.13,1.3,19.53,0.051,188.63,109.0,1.02,3.2,0.35,9.2,6
white,11.86,0.58,0.62,10.15,0.27,64.0,162.0,0.9962,3.4,1.15,9.52,5
white,8.91,0.92,1.17,23.96,0.04,60.0,171.0,0.9990000000000001,3.16,0.59,8.3,6
white,10.59,0.23,0.93,50.13,0.04,60.0,171.0,0.9990000000000001,3.84,0.59,9.1,6
white,6.9,0.33,1.17,40.34,0.051,106.19,237.29,1.0,3.27,0.6,10.3,5
white,6.5,0.17,1.09,45.14,0.08199999999999999,130.43,196.32,0.9959,2.89,1.91,8.95,6
red,14.63,1.12,0.46,18.75,0.052000000000000005,269.74,421.69,1.0,3.04,0.52,8.9,5
red,5.05,0.61,0.5,50.06,0.055999999999999994,68.0,195.0,0.9982,3.01,0.47,9.2,5
white,6.7,0.41,1.31,10.37,0.049,29.0,275.5,0.9968,3.22,0.51,9.1,5
red,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.74,0.51,9.1,5
red,5.5,1.24,0.77,1.5,0.2,8.0,337.16,0.9940000000000001,3.95,0.4,14.84,4
white,14.07,0.31,0.9,7.91,0.040999999999999995,211.89,71.11,1.02,3.31,0.44,11.3,6
red,6.24,0.14,0.06,1.7,0.035,16.0,417.01,0.9911,3.19,1.58,11.8,6
white,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,25.13,1.03,3.8,1.48,9.2,5
white,8.41,0.32,1.17,4.31,0.06,57.0,289.41,0.99,3.04,0.5,14.4,5
white,5.9,0.36,0.04,46.13,0.046,22.01,87.0,1.0,3.74,0.51,8.34,5
red,11.72,0.77,0.32,12.2,0.37,42.0,398.99,1.03,3.01,1.55,12.38,5
white,7.4,0.09,0.31,6.85,0.059000000000000004,31.0,379.0,0.9952,3.29,0.34,14.82,5
red,5.68,0.19,1.22,5.0,0.34,164.75,146.0,0.9952,3.29,0.29,9.1,6
white,6.4,0.13,1.51,1.6,0.092,6.13,158.0,0.9928,3.21,0.36,9.8,6
red,14.1,1.53,0.36,63.2,0.026000000000000002,257.32,229.54,0.9912,3.27,0.48,9.22,6
white,7.4,0.36,0.23,30.94,0.59,29.0,126.0,0.9940000000000001,3.14,0.42,8.06,5
white,11.77,0.32,0.32,7.6,0.53,250.99,203.0,0.9958,3.09,1.03,9.7,7
white,6.3,0.3,0.56,2.8,0.19,31.77,179.0,1.04,3.18,0.57,11.5,7
white,10.32,0.3,1.55,15.16,0.27,46.0,184.0,0.9924,3.31,0.57,14.45,6
white,5.7,0.59,0.76,35.49,0.02,7.0,318.78,0.99,3.21,0.37,10.6,5
white,11.39,0.95,0.07,7.6,0.02,64.7,203.0,0.9958,3.45,1.13,12.7,7
white,7.36,1.5,1.08,20.31,0.6,53.11,241.0,1.01,3.14,0.57,9.0,5
red,11.4,0.24,0.27,15.8,0.035,46.0,43.22,0.9982,3.24,0.51,12.01,5
white,6.8,0.32,0.22,3.77,0.46,148.3,203.0,1.02,3.46,1.32,8.9,5
white,6.88,0.27,0.31,33.09,0.56,172.47,48.92,0.9979,3.26,0.56,11.47,5
red,9.42,0.23,0.66,19.03,0.027000000000000003,45.56,22.65,0.992,2.88,1.49,10.7,6
white,7.1,0.37,0.67,10.5,0.045,277.07,155.0,1.02,3.16,1.46,8.7,5
white,6.8,0.75,0.93,51.39,0.035,107.48,82.43,0.9917,3.15,0.54,9.61,7
white,8.1,0.28,1.19,46.9,0.028999999999999998,18.0,79.0,0.9923,,0.52,11.8,6
white,6.77,1.45,0.34,2.2,0.53,57.91,77.0,0.9927,3.07,1.63,14.29,5
white,7.1,0.37,0.67,37.93,0.045,247.84,40.16,1.01,3.16,1.44,11.19,5
red,7.9,0.21,0.35,1.2,0.039,216.7,188.01,0.992,3.21,1.16,10.8,6
red,8.5,0.21,0.41,24.0,0.33,284.6,99.0,1.04,3.18,0.53,9.7,6
red,8.1,0.2,0.4,2.0,0.03,186.03,280.45,1.04,3.12,1.78,8.57,6
white,6.3,0.255,1.49,52.07,0.3,47.63,201.86,1.03,3.0,1.27,8.7,6
white,9.85,1.29,0.48,23.46,0.12,274.59,366.91,0.9918,3.92,0.37,10.1,6
red,12.43,0.595,0.14,31.06,0.057999999999999996,162.5,97.0,0.9951,3.38,1.18,9.0,4
white,6.3,0.34,0.33,15.5,0.18,19.0,183.02,0.9917,3.13,0.58,12.73,7
red,6.9,0.25,0.3,19.12,0.054000000000000006,23.0,116.0,1.0,3.82,0.45,10.91,6
white,7.9,0.22,0.43,8.0,0.39,46.0,152.0,0.9934,3.29,1.09,8.94,7
white,13.98,0.47,1.12,64.77,0.45,182.14,135.0,0.99,3.57,0.43,11.21,6
white,9.56,0.25,1.41,4.1,0.054000000000000006,23.0,116.0,1.01,2.99,1.03,9.4,6
white,4.1,0.18,0.41,1.2,0.048,41.0,97.0,1.03,3.03,0.45,10.4,5
red,8.2,0.23,0.4,12.76,0.02,12.0,76.0,0.9966,3.61,1.19,9.7,6
white,10.82,0.48,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.86,8.9,6
white,7.4,0.2,1.31,41.27,0.066,48.0,434.15,0.9979,2.89,0.42,9.44,6
white,7.75,0.32,0.24,1.5,0.17,38.0,124.0,1.03,3.29,0.8,9.38,7
white,15.82,0.25,0.04,1.4,0.56,43.0,110.4,0.9894,3.36,1.37,12.1,8
white,5.22,0.26,0.04,61.07,0.16,70.19,119.0,0.9894,3.84,0.33,12.1,8
white,6.1,0.32,0.24,1.5,0.036000000000000004,208.79,124.0,1.01,3.3,0.42,10.24,7
white,6.4,0.22,0.86,14.5,0.53,10.81,129.75,1.04,3.54,1.79,9.54,5
white,6.3,0.36,1.26,4.8,0.2,14.0,85.0,0.9932,3.28,0.26,10.6,5
white,12.67,0.24,0.42,22.45,0.54,48.0,198.0,1.02,3.03,1.02,8.9,6
white,6.7,0.24,0.66,13.1,0.15,64.0,414.39,0.997,3.39,0.5,9.5,5
white,6.57,0.23,0.36,5.88,0.051,261.13,134.3,0.9972,3.16,0.49,9.8,5
red,13.64,1.35,0.46,21.07,0.048,39.0,151.29,0.9974,3.17,0.59,9.6,6
white,15.46,0.46,1.02,2.4,0.06,258.84,98.0,1.01,3.08,0.78,10.32,7
white,11.64,0.29,0.8,8.95,0.47,44.51,53.35,0.9968,3.08,0.54,10.79,5
white,15.17,0.66,1.61,27.25,0.034,5.0,438.63,0.9958,3.67,0.96,14.69,5
white,9.05,0.3,0.46,1.5,0.066,98.32,133.0,0.9906,2.8,0.82,12.7,6
red,7.9,0.51,0.57,1.5,0.045,17.0,96.0,1.01,2.81,0.52,11.0,6
white,7.52,0.13,0.37,0.8,0.56,16.17,61.63,0.9902,3.03,1.28,11.4,4
white,5.1,0.22,1.39,27.45,0.038,31.0,130.0,1.03,2.94,0.33,11.5,7
red,,0.42,0.31,17.7,0.051,179.74,173.0,1.03,3.09,2.0,10.2,5
red,6.9,0.58,0.79,4.02,0.45,50.0,151.0,0.9927,2.8,0.27,11.49,6
white,7.2,1.23,0.09,5.1,0.26,19.0,420.54,0.991,3.03,0.51,14.45,4
white,5.9,0.23,0.3,12.9,0.054000000000000006,57.0,169.66,1.0,3.28,0.32,13.53,5
red,9.55,0.31,0.07,22.74,0.56,9.0,430.29,0.9931,3.11,1.55,8.7,4
white,6.4,0.25,1.13,35.77,0.5,272.94,352.63,0.995,3.19,0.68,9.2,6
white,5.65,0.33,0.47,5.5,0.048,180.2,407.06,0.99,3.19,0.8,14.35,6
white,7.1,0.34,0.15,54.78,0.04,152.75,183.0,1.04,3.25,0.43,11.82,5
white,6.8,0.28,0.4,22.0,0.048,251.94,276.42,1.001,2.93,0.33,9.94,5
white,6.9,1.07,1.62,58.48,0.05,64.0,155.93,1.04,3.18,0.58,14.73,6
white,6.49,1.41,0.56,11.9,0.043,64.0,226.0,0.997,2.84,1.49,13.84,5
white,7.8,0.29,0.08,11.9,0.38,185.37,230.0,1.04,2.93,1.43,9.3,5
white,6.7,1.08,0.41,3.29,0.19,49.0,13.37,1.03,3.12,1.33,9.9,6
white,14.25,0.3,0.58,4.2,0.038,42.0,119.0,1.01,3.15,0.5,13.59,5
white,12.76,1.33,0.35,3.8,0.28,26.0,61.85,0.9906,3.26,1.61,12.7,8
red,6.5,0.28,0.28,38.63,0.047,54.0,391.15,0.99,3.09,0.52,8.9,4
white,6.6,1.34,0.87,8.5,0.052000000000000005,207.6,344.34,1.0,3.62,0.41,13.98,6
white,14.83,0.28,0.87,22.0,0.048,48.0,427.82,1.001,3.16,1.74,8.7,5
white,6.8,0.28,0.36,2.54,0.57,28.0,123.0,1.03,3.02,0.37,11.4,6
white,6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.99,3.36,0.42,10.17,5
red,6.4,0.85,0.38,3.6,0.2,75.0,181.0,1.0,3.33,1.45,9.1,5
white,12.99,0.26,1.48,3.5,0.54,98.01,184.89,1.03,2.76,0.39,9.1,6
white,13.5,0.29,1.47,3.6,0.19699999999999998,75.0,250.75,0.9942,3.05,0.38,9.1,5
white,6.8,1.07,1.26,7.8,0.052000000000000005,30.83,427.56,1.04,2.73,0.47,8.9,5
red,7.1,0.32,0.24,13.1,0.09,135.91,204.0,0.99,3.58,0.49,8.8,5
white,14.55,0.26,1.21,58.16,0.1,54.0,214.0,1.0,3.13,0.82,8.9,5
white,6.44,0.43,0.26,16.1,0.049,55.0,310.98,0.9984,3.15,0.5,9.3,5
white,7.1,0.94,0.81,51.5,0.28,249.94,204.0,1.02,2.77,0.49,12.63,5
white,3.86,0.54,0.99,13.2,0.05,119.51,236.0,0.99,3.2,0.47,10.64,5
red,6.8,1.48,0.34,13.9,0.09,139.15,269.57,0.99,3.33,0.53,12.0,6
white,5.8,0.28,1.43,44.75,0.053,128.38,263.65,0.9924,3.96,0.5,10.2,4
white,6.4,1.56,0.5,11.6,0.11,193.83,153.0,1.0,3.15,1.29,12.49,5
white,7.0,0.16,0.13,14.31,0.045,157.74,126.0,0.9958,3.21,0.34,14.69,5
red,10.2,0.44,1.08,53.33,0.52,20.0,124.0,1.02,2.99,0.51,9.9,4
white,8.67,1.19,0.95,10.54,0.04,244.1,77.0,0.99,3.32,0.74,10.2,5
white,6.1,0.4,0.57,22.19,0.14,23.0,81.45,0.993,3.22,0.44,9.5,6
white,14.62,0.36,0.94,9.7,0.032,12.0,202.47,0.9940000000000001,3.31,0.34,8.64,5
white,6.8,0.18,1.31,1.4,0.038,35.0,111.0,0.9918,3.84,0.34,11.2,7
white,7.0,1.45,0.32,8.3,0.045,38.0,403.56,0.99,3.12,1.48,13.34,5
white,6.7,0.13,0.95,41.02,0.15,284.07,122.0,1.02,3.44,0.37,9.7,6
red,6.2,0.25,0.82,1.4,0.03,35.0,410.43,0.9912,3.31,1.04,11.1,7
white,5.88,0.93,1.62,9.2,0.044000000000000004,55.0,334.76,0.9961,2.97,0.87,9.4,5
red,4.03,0.27,0.36,45.5,0.5,45.0,123.95,1.01,3.91,0.33,11.0,5
white,5.8,0.26,1.49,9.2,0.044000000000000004,271.64,213.39,1.01,3.61,0.38,9.4,5
white,9.99,0.28,1.25,31.29,0.52,60.0,204.99,1.01,3.64,0.44,9.4,5
white,7.5,0.23,0.89,7.0,0.036000000000000004,184.5,307.65,0.9938,3.03,0.46,11.0,5
white,15.22,0.27,0.36,59.21,0.61,162.65,150.31,0.9939,3.03,0.76,13.21,5
white,9.83,0.74,0.22,33.91,0.32,271.42,221.27,0.9971,2.8,1.32,12.84,6
red,6.2,1.51,0.25,1.4,0.03,127.14,105.0,1.01,3.64,0.44,11.1,7
red,6.5,0.19,0.3,0.8,0.043,33.0,144.0,1.03,3.42,0.39,9.1,6
white,6.3,1.34,0.61,14.29,0.046,59.81,383.84,0.9929,3.39,0.76,12.29,6
white,13.84,0.24,0.91,17.8,0.046,39.0,145.0,1.01,3.32,0.39,8.7,5
white,6.4,0.17,1.39,2.4,0.048,41.0,200.0,1.03,3.5,0.5,9.7,6
red,7.1,0.31,0.57,10.3,0.58,175.02,165.86,1.01,3.18,0.73,13.43,6
white,9.99,0.17,0.75,2.4,0.51,41.0,230.35,1.03,3.1,0.5,9.7,6
white,14.81,0.98,0.41,17.8,0.41,39.0,301.11,0.9998,3.32,0.39,8.7,5
white,15.49,0.64,0.08,9.7,0.32,26.0,142.0,1.04,3.37,0.46,8.9,4
white,4.71,0.28,1.48,18.57,0.040999999999999995,117.44,194.0,1.01,2.95,1.09,9.6,6
red,8.2,0.92,0.39,36.42,0.29,49.0,335.8,0.9976,3.31,0.51,9.5,6
white,11.44,1.48,0.38,9.53,0.057999999999999996,125.62,129.39,0.9979,3.09,0.62,9.0,6
white,12.16,0.36,0.31,14.3,0.057999999999999996,3.74,194.0,0.9979,3.09,1.28,9.0,6
white,7.2,1.29,0.96,14.3,0.057999999999999996,55.0,283.31,1.01,3.09,0.44,12.8,6
white,7.2,0.23,0.38,14.3,0.24,55.0,194.0,0.9979,3.09,0.44,9.0,6
white,6.8,1.32,0.32,13.2,0.044000000000000004,79.98,221.0,0.99,3.19,1.2,10.81,6
red,13.33,0.6,0.59,1.4,0.037000000000000005,40.0,120.0,1.01,3.34,1.18,13.05,7
white,6.2,0.25,0.21,45.05,0.59,28.0,287.61,1.0,2.99,0.64,9.6,6
white,7.3,0.32,0.23,13.7,0.14,49.0,418.75,0.9985,2.76,0.46,9.31,5
white,8.54,0.19,1.32,7.8,0.23,23.0,91.44,0.9944,3.13,0.5,10.4,5
white,7.1,0.78,0.37,2.4,0.026000000000000002,23.0,100.0,1.01,3.15,0.38,11.4,7
white,6.8,0.24,0.34,2.7,0.047,200.22,75.87,0.9934,3.3,0.58,8.28,6
red,6.74,0.42,0.56,34.91,0.1,40.0,142.0,0.9975,3.14,0.46,8.7,5
white,9.1,0.18,0.36,15.62,0.06,62.06,249.5,1.03,3.52,0.79,12.04,6
white,6.8,1.54,0.27,5.68,0.5,26.0,139.0,0.99,3.88,0.61,13.15,7
red,5.8,0.67,1.03,1.4,0.26,36.94,77.0,0.9905,3.2,0.36,10.64,7
white,5.6,0.19,1.28,1.4,0.32,12.0,76.0,1.04,3.25,0.37,10.9,7
white,8.77,0.74,0.14,10.4,0.04,8.19,119.0,1.03,3.38,0.45,10.0,5
white,11.05,0.21,0.28,32.51,0.14,40.0,199.0,0.9964,3.72,0.26,10.0,4
white,9.44,0.26,0.21,16.2,0.06,52.47,170.21,1.0,3.02,0.5,14.87,3
white,6.9,0.4,0.56,50.62,0.33,183.26,322.68,1.0,3.14,0.85,8.7,5
white,5.8,0.09,0.44,1.39,0.028999999999999998,5.0,343.1,1.03,3.53,0.43,9.72,3
white,5.8,0.3,1.62,1.5,0.18,37.0,158.0,0.9932,3.21,0.52,9.3,6
white,4.95,0.26,0.39,1.1,0.04,178.94,22.42,0.9935,3.32,1.12,9.6,8
white,12.87,1.29,0.82,5.7,0.035,8.0,363.71,1.02,3.27,0.41,12.84,7
white,6.3,0.35,1.24,14.21,0.035,8.0,97.0,0.9927,3.08,0.41,11.0,7
white,6.4,0.23,0.39,1.8,0.53,23.0,118.0,0.9912,3.32,0.5,13.05,6
white,5.8,0.36,0.92,0.9,0.43,3.0,75.0,0.9904,3.28,0.84,11.4,4
white,6.9,0.115,0.46,52.84,0.48,14.63,108.0,0.9939,3.89,0.42,10.2,6
white,6.9,0.29,1.39,3.5,0.043,73.46,389.39,1.02,2.93,0.47,8.9,5
white,6.9,0.69,0.4,22.69,0.036000000000000004,123.59,95.0,0.9944,2.83,0.33,10.2,5
white,7.2,0.29,0.4,64.4,0.045,66.0,44.45,0.9977,3.53,1.32,9.22,6
white,15.59,0.24,1.21,52.09,0.038,146.39,41.92,0.9912,2.83,0.78,10.6,6
white,11.38,0.97,0.4,61.72,0.043,107.19,156.0,0.9996,2.93,0.89,8.9,5
white,12.34,0.32,0.26,15.65,0.53,116.2,180.0,0.99,3.25,1.92,10.61,6
white,,0.58,0.92,6.9,0.02,2.07,381.89,0.9944,3.34,0.57,12.5,5
white,7.58,0.54,,7.1,0.044000000000000004,258.08,194.69,1.02,3.02,0.57,11.7,6
white,5.4,0.91,0.07,7.0,0.045,24.54,147.0,1.03,3.34,1.37,9.41,6
white,10.68,0.32,0.2,60.84,0.053,32.0,180.0,0.9965,3.25,0.51,12.73,6
white,12.77,0.44,0.07,7.0,0.044000000000000004,60.48,147.0,0.9944,3.06,0.58,9.7,5
white,5.26,0.7,0.26,13.1,0.1,44.0,66.73,0.9972,3.8,0.38,14.21,5
red,6.6,1.38,0.3,52.51,0.057,30.0,387.32,0.9949,3.24,1.8,13.5,5
red,7.0,0.15,1.11,10.7,0.19,59.0,13.64,0.9966,3.05,0.61,9.5,5
white,6.09,0.99,1.63,8.9,0.046,260.39,62.6,1.02,2.99,0.24,10.72,6
white,6.7,0.2,1.2,38.68,0.044000000000000004,50.0,166.0,0.9954,3.14,0.81,9.8,6
white,7.7,1.4,1.1,51.78,0.22,250.08,60.0,0.9915,2.89,1.48,14.66,5
white,6.8,0.32,1.61,1.2,0.044000000000000004,14.0,67.0,1.03,3.05,0.47,8.38,4
white,7.0,0.95,0.49,4.7,0.44,17.0,105.0,0.9916,3.26,0.51,12.4,7
