type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.4,1.18,1.15,59.73,0.047,163.86,343.65,1.02,3.19,0.49,8.07,6
white,9.77,0.12,0.36,22.04,0.033,56.74,114.0,0.9906,3.91,0.71,12.3,7
white,12.22,0.09,0.62,14.73,0.044000000000000004,20.0,286.1,1.03,3.65,1.19,10.0,6
white,7.77,0.14,1.49,53.15,0.42,44.61,111.4,1.01,3.09,1.1,12.36,6
white,14.05,0.25,0.31,1.4,0.05,31.0,385.66,1.0,3.01,0.69,10.8,6
red,4.93,1.13,0.21,,0.045,267.57,409.61,1.0,2.89,0.51,8.15,6
white,9.51,0.27,0.2,9.98,0.11,22.0,243.3,1.02,2.73,0.37,8.43,5
red,4.99,0.88,0.71,1.7,0.5,21.0,123.0,0.9905,3.67,0.42,12.8,5
white,7.58,0.64,0.23,41.11,0.17,161.0,363.92,1.02,3.89,1.09,9.57,5
white,11.38,0.33,0.52,32.71,0.45,38.0,138.0,1.02,3.13,0.28,11.2,6
white,13.75,1.27,0.63,64.59,0.02,45.0,149.0,1.03,3.11,1.22,8.6,5
white,7.28,0.24,1.36,1.71,0.59,46.67,269.57,1.0,3.62,0.65,8.6,5
red,6.7,0.62,0.63,50.26,0.2,63.0,158.0,0.9937,3.09,0.36,9.4,6
white,11.77,0.69,0.26,48.0,0.54,109.25,365.71,0.9937,3.82,0.34,13.22,6
red,11.75,0.26,0.26,35.51,0.21,237.51,145.98,1.03,3.13,1.47,9.8,6
white,6.6,0.99,0.27,60.88,0.42,62.27,164.94,0.9934,3.66,0.86,9.5,6
white,6.11,0.57,0.09,34.64,0.49,169.03,158.47,1.0,3.24,0.56,9.5,6
white,12.87,0.18,0.85,40.13,0.27,38.0,19.37,1.04,2.79,1.1,10.0,7
white,6.2,0.45,0.26,4.4,0.48,89.86,100.31,1.01,3.27,0.52,11.98,4
white,13.8,0.42,1.17,4.4,0.38,172.32,133.15,1.01,2.94,0.52,9.8,5
white,6.53,0.31,0.26,56.21,0.069,166.88,163.33,1.02,3.13,0.56,8.37,6
white,13.97,0.3,0.35,58.88,0.067,167.03,150.0,0.995,3.23,1.55,9.8,5
white,7.2,0.74,1.08,28.61,0.29,2.76,173.0,1.01,3.35,0.44,11.7,6
red,6.6,0.29,0.42,53.9,0.46,39.0,124.0,1.02,3.34,1.53,14.62,7
white,7.72,1.45,0.33,19.44,0.6,21.0,35.89,0.991,3.9,0.24,10.9,7
white,11.37,1.51,0.35,1.0,0.55,78.69,327.92,0.99,3.55,0.48,10.81,6
red,10.08,0.82,0.59,0.9,0.38,220.32,132.0,1.0,,1.1,9.1,6
white,10.88,0.36,0.63,9.1,0.039,233.08,118.45,0.9908,3.43,1.44,11.0,6
red,7.2,0.33,0.34,37.46,0.22,140.55,119.33,0.9962,3.71,0.9,9.6,6
white,6.53,0.71,0.38,27.75,0.05,50.0,147.0,0.9972,3.44,0.59,13.4,6
red,10.19,0.62,1.62,43.72,0.53,92.3,242.72,0.9931,3.81,0.39,10.2,6
white,11.78,0.2,0.98,1.2,0.37,3.83,111.0,1.0,3.93,0.51,8.79,6
white,11.3,0.68,0.49,4.9,0.092,76.17,180.36,1.03,3.03,0.46,8.86,6
white,6.0,0.75,0.92,35.93,0.2,209.9,368.37,1.03,3.3,1.41,10.0,6
white,11.66,0.47,0.07,34.61,0.43,17.0,100.71,0.991,3.02,0.36,14.14,5
red,14.09,0.38,0.98,15.65,0.13,229.85,292.47,0.9931,3.83,1.78,10.2,6
white,12.9,0.24,0.28,46.29,0.038,202.8,21.93,1.01,3.15,1.84,10.3,6
white,15.65,0.35,0.03,57.51,0.59,23.79,328.48,1.04,3.22,1.38,10.04,5
red,4.77,0.8,1.44,6.4,0.57,178.68,227.8,1.01,3.58,0.52,8.9,7
red,6.7,0.14,0.13,30.28,0.54,81.0,388.35,1.04,3.14,0.59,11.9,5
red,11.93,0.23,1.22,62.2,0.046,235.18,121.57,0.9926,3.54,0.32,10.78,8
white,9.85,1.52,0.05,18.46,0.08,101.91,215.95,0.9962,2.79,0.45,13.34,5
white,6.2,0.27,0.43,7.8,0.055999999999999994,161.78,221.36,1.01,3.1,0.51,11.7,6
white,5.33,0.93,0.43,35.05,0.5,228.98,377.54,1.01,3.32,0.6,13.29,5
white,6.0,0.27,0.28,4.8,0.4,88.94,197.33,1.03,3.69,0.71,13.86,5
red,8.6,1.11,0.38,1.0,0.054000000000000006,9.0,85.79,1.02,3.27,1.74,9.1,6
white,6.7,0.35,0.63,17.39,0.26,30.0,96.0,1.04,3.28,1.54,9.63,8
white,8.08,0.1,0.46,10.1,0.06,41.67,368.31,0.9962,2.73,0.29,9.5,5
red,14.17,0.79,0.36,1.4,0.46,54.85,87.0,1.04,2.88,0.37,9.76,7
white,7.0,0.32,0.02,1.3,0.44,20.0,69.0,0.9912,3.31,0.65,10.57,7
white,7.4,0.18,0.3,6.89,0.26,26.0,103.0,1.0,2.94,1.4,9.62,5
white,9.04,0.93,0.28,23.19,0.06,21.0,438.05,0.99,3.27,0.37,12.66,5
white,6.8,0.79,0.31,1.4,0.6,86.35,114.0,0.9929,2.83,0.77,8.52,6
white,14.08,0.96,0.97,1.7,0.1,12.17,166.0,1.0,3.57,1.39,10.7,6
white,13.08,0.25,1.33,6.1,0.02,47.0,87.7,0.9946,3.57,0.93,12.0,5
white,8.05,0.22,0.16,8.2,0.047,42.0,335.16,0.99,3.59,0.46,11.67,6
red,5.73,0.74,1.35,42.03,0.45,54.0,166.5,0.9974,3.37,0.45,9.55,5
red,15.16,0.66,1.2,34.38,0.15,129.6,264.15,0.9975,3.05,1.72,8.7,6
white,4.86,,1.32,53.25,0.49,55.0,156.0,1.04,3.98,0.28,11.34,6
white,6.4,0.25,0.93,13.3,0.55,65.38,410.11,1.02,3.22,0.27,13.47,6
red,7.1,0.43,0.93,41.05,0.045,13.52,155.0,0.9974,3.47,1.03,8.7,5
white,7.1,0.91,1.05,11.8,0.044000000000000004,52.0,308.91,1.03,3.18,1.43,11.36,6
white,7.2,0.39,0.64,55.71,0.044000000000000004,55.0,156.0,0.9974,3.48,1.3,8.7,6
white,15.25,0.51,1.0,34.91,0.049,59.71,243.0,1.0,3.76,0.73,9.0,5
white,12.32,1.33,1.44,1.7,0.11,22.01,435.25,0.99,3.26,1.31,13.25,7
red,6.9,0.21,0.28,57.25,0.18,120.87,252.84,0.99,3.76,0.41,12.6,7
white,4.91,0.17,0.32,60.93,0.25,287.84,113.81,0.99,3.21,0.71,11.5,7
white,7.1,0.26,1.24,12.4,0.45,62.0,125.02,1.0,3.04,0.42,13.69,6
white,7.72,0.54,0.14,40.78,0.34,246.94,164.0,1.03,3.86,0.5,10.44,6
white,8.6,0.265,0.57,54.31,0.11,15.0,80.52,1.03,3.48,0.36,12.02,7
white,12.94,0.2,1.62,4.67,0.26,4.0,372.69,1.03,3.52,1.8,14.13,4
red,4.99,1.01,0.66,54.14,0.046,127.04,164.0,1.0,3.14,0.89,8.8,6
red,7.4,0.42,0.3,29.29,0.06,205.81,18.33,1.02,3.41,1.79,9.1,5
white,9.55,1.24,1.31,24.32,0.054000000000000006,247.01,162.0,0.9962,3.4,0.41,9.4,5
white,6.0,0.21,0.24,9.47,0.1,55.0,329.22,1.03,3.34,1.68,12.54,5
red,7.5,1.23,1.01,17.63,0.059000000000000004,44.0,439.39,1.01,2.99,0.37,9.66,5
white,8.06,1.04,0.91,20.29,0.1,95.43,272.03,1.01,3.0,1.62,10.2,5
white,15.41,0.13,1.3,19.53,0.051,188.63,328.62,1.02,3.2,0.35,8.15,6
white,11.86,0.08,0.62,10.15,0.54,64.0,162.0,0.9962,3.4,1.15,9.52,5
white,8.91,0.92,1.17,13.3,0.04,60.0,171.0,0.9990000000000001,3.16,0.59,9.52,6
white,10.59,0.23,0.5,60.24,0.57,130.06,171.0,0.9990000000000001,3.05,0.59,9.1,6
white,6.9,0.33,1.17,22.57,0.28,106.19,408.8,1.0,3.27,0.6,9.46,5
white,6.5,1.44,0.95,45.14,0.08199999999999999,130.43,196.32,0.9959,2.89,1.58,8.95,6
red,5.99,1.12,0.46,18.75,0.052000000000000005,48.41,237.35,0.99,3.04,0.52,8.9,5
red,5.05,0.61,0.5,23.4,0.055999999999999994,151.71,195.0,0.9982,3.01,1.88,9.2,5
white,6.7,0.41,1.48,10.94,0.14,29.0,275.5,1.0,3.36,0.51,9.1,5
red,6.7,0.41,0.34,9.2,0.049,29.0,150.0,1.02,3.74,0.51,9.1,5
red,11.68,1.24,0.64,1.5,0.2,8.0,337.16,0.9940000000000001,3.95,0.4,14.84,4
white,14.07,0.44,0.9,7.91,0.040999999999999995,211.89,71.11,1.02,3.84,1.11,11.3,6
red,12.58,0.48,0.06,1.7,0.035,16.0,417.01,0.9911,3.19,1.58,11.8,6
white,7.2,0.26,1.11,13.3,0.055999999999999994,68.0,25.13,1.03,3.84,1.63,9.2,5
white,8.41,0.32,1.17,4.31,0.06,57.0,289.41,1.01,3.04,0.5,14.4,5
white,8.49,0.36,0.04,29.95,0.02,140.88,87.0,0.99,3.74,1.79,13.47,5
red,11.72,0.77,1.07,12.2,0.34,108.04,43.96,1.03,3.01,1.55,12.38,5
white,7.4,0.85,0.31,30.2,0.059000000000000004,31.0,314.66,0.9952,3.29,0.46,8.71,5
red,5.68,0.19,0.2,5.0,0.13,164.75,146.0,0.9952,3.29,0.29,10.61,6
white,6.4,0.13,1.51,1.6,0.38,6.13,158.0,1.02,3.21,0.36,9.8,6
red,4.43,1.53,0.36,64.12,0.026000000000000002,257.32,229.54,0.9912,3.67,0.33,14.41,6
white,4.43,0.36,0.23,30.94,0.59,29.0,126.0,0.9940000000000001,3.14,1.33,10.35,5
red,11.77,0.32,1.38,7.6,0.53,172.11,203.0,0.9958,3.56,1.03,9.7,7
white,6.3,0.3,1.14,2.8,0.19,31.77,179.0,1.04,3.18,0.57,11.5,7
white,10.32,0.3,1.61,11.51,0.37,198.03,184.0,0.9924,3.31,1.92,14.45,6
white,5.7,0.59,0.76,2.19,0.22,7.0,318.78,0.99,3.21,0.37,9.14,5
white,11.39,0.95,0.07,7.6,0.33,64.7,203.0,0.9958,3.75,1.13,12.7,7
white,9.55,1.5,0.34,20.31,0.6,158.31,241.0,1.01,3.82,0.57,9.0,5
red,11.4,0.24,1.25,15.8,0.035,46.0,76.37,0.9982,3.24,1.29,8.0,5
white,6.8,0.32,0.22,25.1,0.46,148.3,203.0,1.02,3.46,1.32,10.51,5
white,5.56,0.27,0.31,33.09,0.08,172.47,118.08,0.9979,3.26,0.56,9.09,5
white,9.42,0.4,0.32,19.03,0.47,45.56,264.57,0.992,3.84,1.49,10.24,6
white,8.86,0.37,0.67,10.5,0.54,277.07,155.0,1.02,3.07,1.46,8.7,5
white,6.8,0.75,0.93,51.39,0.035,39.1,439.77,0.9917,3.43,0.86,10.56,7
white,8.1,1.01,1.19,46.9,0.028999999999999998,200.18,79.0,0.9923,,0.52,11.8,6
red,6.77,1.45,0.34,2.2,0.53,221.32,237.73,0.9927,3.07,0.4,14.29,5
white,7.1,1.02,0.78,37.93,0.37,247.84,40.16,1.01,2.86,1.44,11.19,5
red,7.9,0.1,0.35,1.2,0.43,169.45,188.01,0.992,3.21,1.16,10.8,6
red,8.5,0.21,1.01,24.0,0.33,96.96,99.0,1.04,3.18,0.89,9.7,6
red,8.1,0.2,0.4,19.11,0.03,186.03,280.45,1.01,3.12,0.94,8.57,6
white,6.3,0.255,1.26,52.07,0.42,47.63,201.86,1.03,3.0,1.27,9.4,6
white,9.85,1.29,0.48,23.46,0.12,274.59,366.91,0.9918,3.92,0.37,10.1,6
red,12.43,0.595,1.58,31.06,0.29,162.5,245.9,1.0,3.38,1.18,9.0,4
white,6.3,0.34,0.33,15.5,0.18,19.0,393.24,0.9917,2.84,0.58,12.73,7
red,12.36,1.21,0.3,19.12,0.054000000000000006,23.0,116.0,1.0,3.82,0.37,10.91,6
white,11.67,0.65,0.43,39.68,0.58,272.96,152.0,1.0,3.29,1.48,14.75,7
white,13.98,0.47,1.12,64.77,0.45,182.14,135.0,0.99,3.57,0.43,11.21,6
white,9.56,0.62,1.41,4.1,0.054000000000000006,23.0,116.0,0.99,2.99,1.33,9.4,6
white,4.1,0.18,0.41,35.12,0.048,41.0,97.0,1.03,3.97,0.25,14.8,5
red,15.81,1.0,0.4,12.76,0.02,12.0,76.0,1.0,3.61,1.19,9.7,6
red,4.29,1.28,1.35,14.0,0.066,263.68,198.0,0.9979,2.89,0.86,12.43,6
white,7.4,0.2,1.31,41.27,0.066,48.0,64.51,0.99,2.89,0.95,12.92,6
white,5.31,0.3,0.24,1.5,0.28,103.01,124.0,1.03,3.29,0.8,9.38,7
white,15.82,1.35,1.05,54.49,0.56,115.21,110.4,0.9894,3.06,1.37,10.16,8
white,5.22,0.26,1.31,61.07,0.22,70.19,119.0,0.9894,3.84,1.65,12.1,8
white,12.05,0.84,0.24,1.5,0.036000000000000004,208.79,406.58,1.01,3.3,0.42,10.24,7
white,6.4,0.38,1.6,9.61,0.53,10.81,129.75,1.04,3.54,1.79,9.54,5
white,6.3,1.29,1.26,49.68,0.2,14.0,85.0,1.02,3.28,1.28,9.1,5
white,12.67,0.24,0.42,17.0,0.54,157.24,198.0,1.02,3.03,0.42,12.89,6
white,7.15,0.24,0.32,13.1,0.14,281.38,414.39,1.04,3.39,0.5,12.89,5
red,6.57,1.32,0.36,5.88,0.051,261.13,134.3,1.01,3.16,0.49,9.8,5
red,13.64,1.35,0.46,21.07,0.048,273.6,151.29,0.9974,4.01,0.74,9.6,6
white,15.46,1.41,1.02,2.4,0.28,258.84,309.98,1.01,3.08,0.78,10.32,7
white,11.64,0.29,1.32,8.95,0.47,74.58,53.35,0.9968,3.08,0.54,9.21,5
white,15.17,0.66,1.61,27.25,0.034,5.0,177.3,0.9958,3.67,0.96,14.69,5
white,15.86,0.5,0.7,1.5,0.066,37.39,133.0,1.03,2.8,0.82,12.7,6
red,9.24,0.51,0.57,53.14,0.045,275.62,96.0,1.01,3.27,0.52,11.0,6
red,15.7,0.13,0.37,55.36,0.56,16.17,61.63,1.03,2.88,1.28,11.4,4
white,5.1,0.13,1.39,27.45,0.46,31.0,373.49,1.03,2.94,0.33,11.5,7
red,,0.42,0.44,5.9,0.051,179.74,270.06,1.03,3.09,0.94,8.87,5
red,6.9,0.58,0.82,4.02,0.45,50.0,202.49,0.9927,2.8,0.27,11.49,6
white,9.0,0.55,0.09,5.1,0.31,198.6,420.54,0.991,3.03,0.51,14.45,4
white,5.9,0.23,0.79,12.9,0.36,57.0,419.21,0.99,3.13,0.32,13.53,5
red,9.55,1.48,0.07,22.74,0.23,29.88,430.29,0.9931,3.11,1.46,8.7,4
white,6.4,0.25,0.52,35.77,0.35,272.94,237.73,1.01,3.19,0.68,9.2,6
white,5.65,0.33,1.13,5.5,0.048,250.34,278.41,0.99,3.19,0.8,11.22,6
white,7.1,0.34,0.69,54.78,0.4,152.75,183.0,1.04,3.25,0.43,8.74,5
white,6.8,0.28,0.98,22.0,0.048,251.94,279.6,1.001,2.93,1.86,9.94,5
white,6.9,1.07,1.62,54.86,0.05,64.0,246.13,1.02,3.18,0.58,14.73,6
red,6.49,1.19,0.56,11.9,0.043,66.9,226.0,0.997,2.84,1.49,12.02,5
white,7.01,0.29,0.02,11.9,0.38,246.7,79.87,1.04,2.93,1.43,9.3,5
white,4.8,1.08,0.41,3.29,0.19,133.09,284.14,1.03,3.12,1.33,8.16,6
white,12.98,0.3,0.58,4.2,0.038,42.0,119.0,1.01,3.55,0.5,13.59,5
white,12.76,1.33,0.35,31.64,0.28,26.0,123.08,0.9906,3.26,1.73,12.7,8
red,6.53,1.12,0.87,41.62,0.047,54.0,391.15,0.99,3.09,0.63,10.86,4
white,6.6,1.34,0.87,8.5,0.052000000000000005,255.59,344.34,1.0,3.62,0.41,13.98,6
white,12.89,0.89,0.87,61.01,0.27,191.21,427.82,1.0,3.16,0.24,11.32,5
white,6.8,0.93,1.46,2.54,0.5,223.28,123.0,1.03,3.4,0.66,11.4,6
white,8.45,0.15,1.2,5.1,0.055,34.0,125.0,1.04,3.36,0.94,10.14,5
white,4.11,0.85,1.6,54.88,0.2,75.0,181.0,1.0,3.33,1.45,11.01,5
white,12.05,0.45,1.48,3.5,0.54,40.75,184.89,1.03,2.76,0.27,9.1,6
white,9.43,0.44,0.55,15.73,0.19699999999999998,75.0,105.89,0.9942,3.05,1.87,9.1,5
white,6.8,1.07,1.26,44.98,0.13,30.83,427.56,1.04,2.73,0.47,8.9,5
red,11.18,0.32,1.64,28.74,0.09,195.43,417.66,0.99,3.58,0.49,8.8,5
white,14.55,0.26,1.21,12.54,0.59,265.12,214.0,1.0,3.13,0.82,8.9,5
white,6.44,0.43,0.26,62.77,0.049,55.0,310.98,1.01,3.76,0.5,9.3,5
white,7.1,0.94,0.81,12.9,0.28,249.94,204.0,1.02,2.77,0.49,12.96,5
white,3.86,0.54,0.99,13.2,0.3,119.51,236.0,1.04,3.51,0.47,10.64,5
red,6.8,0.16,0.34,13.9,0.09,23.63,88.28,0.99,3.33,0.53,12.29,6
white,5.8,0.28,0.61,44.75,0.053,128.38,263.65,1.04,3.96,0.5,10.2,4
white,6.4,1.56,0.5,11.6,0.49,245.94,189.19,1.0,3.15,1.29,12.49,5
white,7.0,0.16,0.13,36.17,0.045,157.74,126.0,1.03,3.21,0.49,14.69,5
red,6.53,1.41,1.17,22.16,0.52,20.0,217.05,0.99,2.99,0.51,11.48,4
red,8.67,1.19,0.33,10.54,0.19,244.1,77.0,0.99,3.06,1.82,10.2,5
white,8.04,1.47,0.57,22.19,0.14,23.0,81.45,0.993,3.22,0.44,9.5,6
white,8.89,0.36,0.94,13.31,0.032,96.19,202.47,1.02,3.31,0.34,8.64,5
white,13.34,0.18,1.31,1.4,0.038,35.0,240.99,0.99,3.84,0.34,11.2,7
white,7.0,1.45,0.32,8.3,0.21,38.0,403.56,1.02,3.12,1.78,13.34,5
white,14.77,0.13,0.95,41.02,0.15,284.07,428.91,1.02,3.44,1.49,9.7,6
red,6.2,0.25,0.43,1.4,0.11,35.0,336.9,0.9912,3.31,1.04,11.1,7
white,5.88,0.93,1.6,9.2,0.044000000000000004,129.64,334.76,0.9961,2.97,1.88,9.4,5
red,10.37,0.27,0.36,45.5,0.12,45.0,123.95,1.0,3.91,1.19,11.0,5
white,5.8,0.97,1.18,65.57,0.044000000000000004,209.3,213.39,1.0,3.54,1.69,9.4,5
white,7.35,0.58,1.25,31.29,0.52,60.0,204.99,1.01,3.48,0.44,9.4,5
white,7.5,0.23,0.89,7.0,0.3,184.5,409.81,0.9938,3.03,0.46,8.83,5
white,15.22,0.27,0.84,59.21,0.53,61.33,150.31,0.9939,3.65,0.76,13.21,5
red,9.83,0.17,0.05,33.91,0.32,271.42,209.03,1.04,2.8,1.32,12.84,6
white,6.2,0.51,0.25,1.4,0.03,61.53,105.0,0.99,3.64,1.19,11.1,7
white,6.5,0.19,0.3,0.8,0.043,221.62,144.0,1.03,3.42,0.39,9.1,6
white,6.3,0.56,0.61,14.29,0.48,133.13,185.9,0.9929,3.39,0.22,12.29,6
white,13.84,0.24,0.91,17.8,0.046,39.0,334.45,1.01,2.87,0.39,8.7,5
white,5.08,0.17,1.39,56.32,0.048,262.11,200.0,1.03,3.42,0.8,9.7,6
white,10.26,0.31,0.57,10.3,0.49,175.02,165.86,1.01,3.69,1.9,13.43,6
white,5.21,0.17,0.75,2.4,0.51,110.11,230.35,1.03,3.1,1.58,11.62,6
white,10.93,0.98,0.41,39.82,0.1,39.0,301.11,0.9998,3.99,0.39,8.7,5
white,8.32,0.88,0.08,51.16,0.32,26.0,142.0,0.99,3.37,0.46,9.54,4
white,4.71,0.28,1.48,49.18,0.32,227.15,194.0,1.01,3.19,1.85,12.67,6
red,9.71,1.04,0.39,36.42,0.29,59.6,335.8,1.03,3.74,0.54,9.5,6
white,11.44,1.48,0.07,42.47,0.057999999999999996,100.04,129.39,1.04,3.09,0.62,9.0,6
white,12.16,0.36,0.43,34.64,0.48,3.74,194.0,0.9979,3.09,1.28,9.0,6
white,7.2,0.28,0.18,14.3,0.057999999999999996,55.0,283.31,1.01,3.19,0.44,12.8,6
white,4.09,0.23,0.38,14.3,0.34,28.8,194.0,1.0,3.09,0.3,11.14,6
red,6.8,1.32,0.11,13.2,0.044000000000000004,79.98,312.63,0.99,3.19,0.69,10.81,6
red,10.24,0.85,1.01,1.4,0.037000000000000005,40.0,120.0,1.01,3.95,1.18,13.05,7
white,5.69,0.25,0.21,29.52,0.59,137.35,287.61,0.99,2.99,0.64,9.6,6
red,10.11,1.24,0.23,13.7,0.45,49.0,418.75,0.9985,2.76,1.39,9.31,5
white,8.54,0.19,1.32,7.8,0.23,23.0,91.44,0.9944,3.38,0.5,11.82,5
red,7.1,0.18,0.37,2.4,0.026000000000000002,107.13,100.0,1.01,3.15,0.38,11.4,7
white,3.89,0.24,0.34,9.61,0.047,200.22,75.87,0.9934,2.8,0.58,8.28,6
red,6.74,0.48,0.56,34.91,0.1,40.0,142.0,0.9975,3.96,0.46,8.7,5
white,10.73,0.18,0.36,15.62,0.19,49.81,429.08,1.0,3.52,0.79,12.04,6
red,13.32,1.11,1.07,5.68,0.57,26.0,139.0,1.01,3.88,0.61,13.69,7
red,5.8,0.65,1.03,1.4,0.26,36.94,77.0,0.9905,3.71,0.97,13.61,7
white,12.0,0.36,1.13,1.4,0.14,12.0,80.56,1.04,3.25,1.35,11.91,7
white,13.66,0.77,0.14,10.4,0.04,8.19,181.68,1.03,3.38,0.45,10.0,5
red,11.32,0.21,0.28,32.51,0.14,60.6,325.52,1.04,3.72,0.26,8.1,4
white,9.44,0.26,1.0,1.74,0.18,52.47,170.21,1.04,3.02,1.28,14.87,3
red,6.87,0.4,0.56,34.01,0.47,183.26,322.68,1.0,3.14,0.85,8.7,5
white,5.8,0.09,0.44,1.39,0.028999999999999998,50.35,343.1,1.03,3.53,0.43,8.65,3
white,5.8,0.3,0.75,1.5,0.18,37.0,158.0,0.9932,3.21,0.93,9.3,6
red,4.95,0.26,0.02,8.09,0.18,94.17,79.85,1.03,3.32,0.63,9.6,8
white,11.69,1.29,0.82,5.7,0.035,8.0,290.65,1.02,3.27,0.41,12.84,7
red,3.92,0.28,1.24,14.21,0.035,8.0,97.0,0.9927,3.73,0.41,11.0,7
red,6.4,0.15,0.39,10.15,0.53,23.0,118.0,0.9912,3.32,0.5,13.05,6
white,5.8,0.36,0.92,0.9,0.31,210.63,27.04,0.9904,3.28,0.84,13.32,4
white,5.44,0.74,0.46,52.84,0.48,14.63,108.0,0.9939,3.89,0.42,10.2,6
white,6.9,0.82,1.39,3.5,0.42,78.1,389.39,1.02,2.93,0.47,8.9,5
white,6.9,0.69,0.4,50.25,0.036000000000000004,221.69,246.55,0.9944,3.07,0.33,12.65,5
white,7.2,0.29,1.59,35.93,0.045,66.0,44.45,0.9977,2.86,1.32,9.22,6
white,14.19,0.16,1.21,61.54,0.038,146.39,41.92,0.9912,3.3,0.78,10.6,6
white,11.38,1.36,0.14,61.72,0.043,22.38,156.0,0.9996,2.93,0.89,8.33,5
white,13.26,1.45,0.23,15.65,0.26,252.76,180.0,1.01,3.77,1.92,10.61,6
white,15.13,1.44,0.92,6.9,0.09,2.07,381.89,0.9944,3.81,0.57,9.55,5
white,14.51,0.54,,7.1,0.044000000000000004,258.08,202.48,1.02,3.02,0.57,14.33,6
white,5.4,1.29,0.07,7.0,0.09,24.54,425.95,1.03,3.34,1.0,9.82,6
white,9.58,0.32,0.2,60.84,0.17,32.0,180.0,0.9965,3.51,0.51,12.73,6
red,12.77,0.44,0.07,1.94,0.25,148.71,147.0,1.04,3.06,1.74,13.14,5
white,12.02,0.7,0.86,13.1,0.12,44.0,66.73,0.99,3.8,0.45,13.41,5
red,6.6,1.38,0.3,36.48,0.52,65.48,387.32,0.9949,3.24,1.8,13.5,5
red,12.87,1.38,1.11,10.7,0.19,76.79,217.95,1.01,3.05,0.69,9.5,5
white,6.09,0.99,1.63,8.9,0.046,200.55,62.6,1.02,3.07,0.24,10.72,6
white,6.7,1.04,1.2,9.36,0.044000000000000004,50.0,166.0,0.9954,3.14,1.34,9.8,6
white,7.7,1.4,1.04,51.78,0.22,250.08,60.0,0.99,2.89,1.48,14.66,5
white,13.52,1.43,1.61,1.2,0.044000000000000004,14.0,67.0,1.02,3.05,0.47,8.38,4
white,7.0,0.6,0.49,9.13,0.44,83.33,105.0,0.9916,3.26,1.51,12.4,7
red,10.11,0.5,0.36,60.16,0.32,26.64,112.0,0.99,3.19,1.69,12.6,8
white,6.1,1.49,0.58,8.23,0.55,36.0,106.14,0.9909,3.91,1.08,12.3,8
white,6.8,0.44,0.89,5.1,0.047,267.59,244.91,1.0,3.01,0.65,8.2,4
