Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.58,0.41,0.135,0.8115,1.48,0.67,0.255,15
M,0.76,0.44,0.52,0.755,0.307,0.1,0.26,12
M,0.595,0.36,0.175,1.115,0.53,0.254,0.31,13
F,0.625,0.495,0.165,1.262,0.94,0.318,0.39,10
I,0.49,0.56,0.29,1.494,0.588,0.3425,0.27,15
M,0.665,0.6,0.195,1.6059999999999999,0.56,0.38799999999999996,0.21,14
I,0.8,0.25,0.15,0.725,0.38,0.1385,0.25,9
M,0.17,0.07,1.09,0.523,0.214,0.132,0.145,8
M,0.47,0.61,0.13,0.81,0.201,0.13,0.165,7
F,0.72,0.375,0.7,1.1,0.2775,0.23,0.32,10
I,0.79,0.265,0.9,1.65,0.105,0.046,0.19,7
M,0.55,0.435,0.145,1.36,0.32799999999999996,0.1915,0.255,15
I,0.22,0.08,0.43,1.68,0.58,0.13,0.44,15
M,0.53,0.48,0.14,0.7240000000000001,0.72,0.1675,0.24,10
M,0.17,0.47,0.4,2.79,1.14,0.2405,0.345,12
I,0.52,0.29,0.155,0.727,1.36,0.24,0.87,12
F,0.54,0.43,0.165,0.802,0.73,0.183,0.9,11
I,0.5,0.4,0.18,0.6675,0.91,0.55,0.22,10
F,0.51,0.53,0.17,0.6335,0.4,0.179,0.84,9
F,0.435,0.42,0.53,0.3635,0.96,0.4,0.02,9
F,0.19,0.25,0.125,0.5415,0.27,0.1345,0.155,9
M,0.465,0.36,0.105,0.431,0.04,0.15,0.01,9
M,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
M,0.425,0.21,0.47,0.39299999999999996,0.13,0.09,0.165,9
M,0.78,0.21,0.125,2.48,0.98,0.146,0.21,11
F,0.53,0.415,1.08,0.3,0.93,0.02,0.18,11
F,0.49,0.375,1.03,0.6125,0.2555,0.102,0.22,11
I,0.44,0.53,0.105,0.402,0.1305,0.0955,0.165,10
F,0.56,0.43,0.4,1.91,0.3465,0.172,0.31,9
I,0.08,0.305,0.5,2.04,0.3,0.0595,0.32,8
M,0.47,0.52,0.105,0.4205,0.32,0.69,0.14,9
I,0.385,0.56,0.4,1.15,0.10300000000000001,0.0575,0.47,7
F,0.515,0.425,0.14,0.7659999999999999,0.83,0.66,0.07,14
M,0.45,0.265,1.03,0.214,1.03,0.07,0.07,6
I,0.35,0.1,0.08,0.42,0.081,0.0505,0.36,6
I,0.27,0.195,0.06,2.02,0.8,0.27,0.05,5
I,0.46,0.275,0.09,0.23800000000000002,0.73,0.42,0.5,6
I,0.385,0.57,0.94,0.37,0.0,0.04,0.05,8
M,0.28,0.535,0.16,1.71,0.63,0.36,0.54,19
M,0.71,0.27,0.165,2.1,0.7665,0.62,0.54,18
M,0.595,0.39,0.31,0.93,0.93,0.28300000000000003,0.72,17
F,0.44,0.12,0.125,2.71,0.36,0.52,0.129,9
F,0.73,0.59,1.06,0.1915,0.085,0.44,0.73,7
I,0.26,0.09,0.24,2.71,0.086,0.055999999999999994,0.068,7
I,0.265,0.2,0.065,1.23,0.79,0.68,0.027999999999999997,7
F,0.425,0.33,0.47,0.406,0.27,0.081,0.1355,8
M,0.305,0.23,0.08,0.02,0.0675,0.64,0.79,7
M,0.16,0.255,0.23,0.2005,0.094,0.0295,0.0,9
F,0.405,0.59,0.11,0.3555,0.151,0.063,0.11699999999999999,9
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
I,0.26,0.445,0.155,2.8,0.44,0.55,0.2475,10
F,0.55,0.45,0.01,2.33,0.295,0.1435,0.2665,10
M,0.65,0.52,0.75,0.27,0.27,0.306,0.4465,16
F,0.68,0.29,0.155,0.96,0.25,0.32,0.2425,11
M,0.36,0.35,0.13,0.5175,0.2075,0.1165,0.17,10
M,0.22,0.65,0.125,1.94,0.245,0.1075,0.174,10
I,0.56,0.58,0.12,1.03,0.22399999999999998,0.10800000000000001,0.84,10
I,0.1,0.45,0.08,0.127,0.052000000000000005,0.72,0.042,9
I,0.18,0.07,0.055,0.0315,0.0105,0.06,0.79,5
M,0.17,0.26,0.095,0.03,0.013000000000000001,0.54,0.01,4
F,0.16,0.475,0.145,2.78,0.28,0.38,0.325,15
M,0.605,0.49,0.36,2.39,0.469,0.2585,0.335,9
M,0.635,0.515,0.19,2.2,0.06,0.305,0.64,10
F,0.62,0.24,0.16,1.0565,1.13,0.2355,0.355,10
I,0.565,0.45,0.135,0.41,0.05,0.7,0.31,12
M,0.64,0.405,0.82,2.1,0.99,0.131,0.21,10
F,0.68,0.64,0.41,0.9940000000000001,0.392,0.2425,0.65,13
M,0.51,0.42,0.1,1.514,1.23,0.0,0.57,16
I,0.31,0.455,0.3,0.9075,1.4,0.36,0.285,13
I,0.65,0.62,0.165,1.124,0.2985,0.68,0.21,13
M,0.605,0.465,0.77,1.056,0.4215,0.2475,0.92,13
F,0.605,0.485,0.16,0.74,1.47,0.2575,0.28,13
I,0.21,0.485,0.45,0.54,1.08,0.51,0.43,12
F,0.49,0.56,0.43,2.141,0.65,0.39799999999999996,1.005,18
F,0.21,0.38,0.68,1.7519999999999998,1.3,0.2895,0.815,16
M,0.725,0.07,0.19,2.7,1.0705,0.483,0.725,14
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
F,0.34,0.57,0.95,1.8419999999999999,0.625,0.408,0.65,20
F,0.47,0.4,0.0,1.9809999999999999,0.22,0.28,0.53,14
F,0.68,0.515,0.175,1.6185,0.05,0.07,0.41,12
M,0.45,0.55,0.53,2.78,0.7125,0.54,0.82,14
F,0.17,0.56,0.13,0.775,0.308,0.24,0.255,7
M,0.73,0.42,0.42,0.44,0.486,0.233,0.285,8
F,0.66,0.16,0.96,0.7759999999999999,0.32,0.2,0.22,8
I,0.235,0.16,0.74,0.048,1.07,0.55,0.015,5
I,0.36,0.26,0.09,2.72,1.01,0.67,0.075,7
I,0.74,0.14,0.06,0.125,0.15,0.0375,0.73,5
I,0.315,0.55,0.085,0.1435,0.053,0.0475,0.05,8
I,0.64,0.63,0.045,0.43,1.05,0.53,0.015,4
M,0.58,0.475,0.7,1.38,0.385,0.03,0.08,11
M,0.54,0.48,0.81,0.9395,0.39899999999999997,0.38,0.69,14
I,0.52,0.21,0.27,1.25,0.515,0.7,0.57,21
I,0.7,0.47,0.87,1.0235,0.429,0.268,0.3,10
I,0.77,0.32,1.1,1.0165,0.4355,0.214,0.3,10
F,0.645,0.47,0.29,2.01,0.621,0.36700000000000005,0.6,12
M,0.71,0.49,0.19,0.98,1.4,0.1,0.355,13
F,0.63,0.48,0.15,2.62,0.392,0.15,0.1,12
F,0.63,0.5,0.185,1.383,0.64,0.43,0.38,10
F,0.29,0.65,0.16,0.52,0.5265,0.335,0.12,11
F,0.585,0.46,0.17,0.9325,0.08,0.271,0.29,9
F,0.615,0.48,0.18,1.1595,0.4845,0.01,0.35,13
M,0.61,0.485,0.17,1.0225,1.05,0.72,0.07,12
M,0.58,0.07,0.17,0.927,0.276,0.7,0.58,14
I,0.355,0.3,0.36,0.22,1.4,0.06,0.15,8
F,0.51,0.51,0.14,2.26,1.13,0.1965,0.69,10
I,0.5,0.405,0.155,1.92,0.34600000000000003,0.24,0.67,12
I,0.41,0.1,1.09,0.644,0.285,0.145,0.21,11
M,0.64,0.5,0.94,1.3035,0.44,0.56,0.465,16
M,0.56,0.45,0.16,0.922,0.29,0.28,0.26,15
M,0.1,0.46,0.185,2.01,0.3635,0.75,0.19,10
F,0.45,0.345,0.94,0.91,0.1655,0.48,0.135,9
M,0.5,0.4,0.165,0.825,0.17,0.205,0.27,13
I,0.5,0.3,0.145,0.63,0.23399999999999999,0.1465,0.54,12
F,0.23,0.435,0.17,1.71,0.2985,0.68,0.6,13
M,0.6,0.335,0.49,2.61,0.171,0.35,0.12,8
F,0.44,0.58,0.57,1.49,0.18600000000000003,0.41,0.16,9
I,0.4,0.3,0.11,0.36,1.35,0.41,0.12,9
F,0.41,0.34,0.11,1.35,0.1495,0.085,0.12,8
I,0.48,0.34,0.17,1.2,0.2755,0.1685,0.31,13
I,0.21,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
I,0.1,0.43,0.09,1.41,0.0755,0.34,0.92,7
F,0.415,0.48,0.66,0.38,0.1595,0.56,0.82,12
M,0.5,0.405,0.14,1.93,0.73,0.1355,0.205,9
M,0.485,0.395,0.16,1.17,1.2,0.128,0.19,14
F,0.42,0.45,0.14,0.8025,0.244,0.02,0.255,10
I,0.45,0.11,0.08,0.46,0.174,0.08,0.95,8
I,0.405,0.3,0.12,0.45,0.1265,0.12,0.1,7
F,0.45,0.36,0.135,0.501,0.06,0.115,0.165,10
F,0.65,0.305,0.13,1.31,0.1305,0.03,0.32,8
I,0.5,0.26,0.05,0.455,1.02,0.09,0.14,9
F,0.47,0.46,0.145,0.5175,0.26,0.1235,0.07,11
F,0.71,0.27,0.1,1.44,1.47,0.51,0.48,9
I,0.76,0.355,0.15,1.94,0.75,0.02,0.69,11
F,0.57,0.38,0.96,0.3265,0.1285,0.21,0.84,10
F,0.5,0.29,0.135,0.45,1.18,0.1055,0.155,9
M,0.39,0.3,0.81,2.8,0.121,0.2,0.09,7
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
F,0.58,0.24,0.165,1.1015,0.40399999999999997,0.2095,0.35,11
F,0.53,0.57,0.34,0.7829999999999999,0.2935,0.158,0.17,15
M,0.555,0.445,0.135,0.836,0.336,0.32,0.275,13
I,0.565,0.46,0.55,0.9025,0.31,0.71,0.325,14
M,0.625,0.505,0.92,0.01,0.496,0.5,0.435,22
M,0.275,0.215,0.91,0.1155,0.0485,0.028999999999999998,0.95,7
F,0.44,0.35,0.93,2.29,0.1815,0.36,0.125,12
M,0.295,0.37,0.08,2.73,0.0485,0.032,0.55,9
I,0.075,0.055,0.72,0.002,0.7,0.49,0.0015,1
I,0.13,0.56,0.03,0.35,0.0045,0.003,0.004,3
F,0.11,0.21,0.03,0.008,1.48,0.002,0.003,3
I,0.16,0.12,0.035,0.021,0.04,0.0045,0.09,5
M,0.18,0.425,0.16,1.51,1.15,0.05,0.275,17
I,0.17,0.2,0.05,0.12,1.38,0.0245,0.035,5
I,0.53,0.175,0.065,2.42,0.026000000000000002,0.0105,0.02,5
I,0.42,0.23,0.56,0.1275,0.46,0.0265,0.04,8
I,0.23,0.255,0.47,1.5,0.063,0.61,0.06,8
I,0.53,0.23,0.16,0.82,1.16,0.0345,0.06,10
I,0.32,0.245,0.08,0.1585,0.89,0.2,0.05,13
M,0.25,0.275,0.5,2.4,0.04,0.19,0.04,9
I,0.59,0.245,0.075,2.06,1.21,0.07,0.36,7
F,0.64,0.58,0.01,0.36,0.08199999999999999,0.47,0.23,7
M,0.5,0.25,0.105,0.1715,0.0655,0.035,0.06,7
M,0.35,0.47,0.18,2.47,0.23,0.46,0.91,13
M,0.595,0.58,0.21,1.0605,0.7,0.14,0.3,12
F,0.8,0.46,0.185,1.094,1.38,0.74,0.345,15
F,0.49,0.495,0.165,1.2415,0.61,0.2775,0.96,15
M,0.45,0.45,0.18,1.011,0.3835,0.5,0.37,15
I,0.56,0.45,0.185,1.07,0.65,0.58,0.03,19
M,0.545,0.46,0.16,0.23,0.92,0.47,0.345,10
F,0.635,0.505,0.64,2.44,0.605,0.73,0.365,15
M,0.64,0.24,0.16,1.1015,0.4775,0.25,0.295,13
M,0.54,0.475,0.155,0.9279999999999999,0.11,0.02,0.53,11
F,0.57,0.44,0.125,1.72,0.3675,0.1725,0.1,12
M,0.53,0.22,0.165,2.15,0.319,0.239,0.245,11
I,0.245,0.34,0.06,0.095,0.0445,0.0245,0.62,4
M,0.64,0.2,0.9,0.98,1.11,0.74,0.55,6
F,0.46,0.11,0.13,1.67,0.62,0.1525,0.64,11
M,0.37,0.14,0.15,2.22,0.39,0.18600000000000003,0.39,14
I,0.24,0.65,0.11,0.2925,0.27,0.28,0.0905,8
M,0.58,0.42,0.15,1.79,0.2185,0.0885,0.255,9
F,0.45,0.63,0.66,0.4995,0.2035,0.27,0.17,13
F,0.7,0.08,0.66,2.6,0.4535,0.3,0.55,22
I,0.59,0.26,0.22,1.187,1.39,0.2705,0.74,16
M,0.62,0.485,0.205,1.219,0.3875,0.1,0.08,14
I,0.63,0.27,0.94,0.93,0.91,0.3335,0.45,15
F,0.63,0.515,0.155,1.2590000000000001,0.86,0.3,0.41,13
M,0.655,0.64,0.215,2.58,0.7425,0.327,0.585,22
I,0.79,0.22,0.185,0.87,1.24,0.27,0.52,12
M,0.61,0.5,1.03,0.17,0.532,0.55,0.69,18
M,0.635,0.525,0.205,1.484,0.02,0.3115,0.43,20
F,0.1,0.16,0.66,0.88,0.2665,0.1605,0.02,11
F,0.77,0.58,0.29,0.8415,0.314,0.03,0.3,15
I,0.57,0.285,0.63,0.63,0.0915,0.057,0.075,7
F,0.455,0.355,0.1,0.4495,0.177,0.10400000000000001,0.15,9
M,0.485,0.395,0.14,1.0,1.44,0.127,0.225,14
M,0.515,0.38,0.97,0.42,1.06,0.48,0.99,14
F,0.535,0.36,0.77,0.879,0.295,0.1965,0.285,10
M,0.66,0.15,0.155,0.94,1.07,0.43,0.43,10
I,0.495,0.4,0.5,0.6445,0.242,0.1325,0.205,17
M,0.71,0.355,0.125,2.12,0.132,0.0815,0.94,9
F,0.535,0.435,0.16,0.8105,1.22,0.12,0.24,10
M,0.35,0.435,0.18,0.61,0.64,0.47,0.55,17
F,0.565,0.56,0.57,1.2765,0.91,0.27899999999999997,0.35,12
M,0.61,0.46,0.165,1.1159999999999999,0.428,0.2205,0.82,15
F,0.565,0.2,1.05,0.9,0.342,0.207,0.35,19
M,0.6,0.495,0.43,1.0575,0.24,0.31,0.1,26
F,0.295,0.18,0.18,0.128,0.51,0.11,0.17,6
F,0.275,0.205,0.51,0.97,0.045,0.0285,0.035,6
I,0.14,0.21,0.085,0.1065,0.039,0.0295,0.01,4
M,0.77,0.395,0.88,0.5489999999999999,0.95,0.1275,0.7,11
M,0.58,0.28,0.17,0.64,0.01,0.0585,0.68,9
F,0.09,0.37,0.01,0.3485,0.1455,0.0895,0.1,9
F,0.54,0.3,0.175,0.892,0.322,0.41,0.335,13
M,0.67,0.28,0.1,0.252,0.1065,0.35,0.07400000000000001,8
M,0.36,0.62,0.24,0.217,0.95,0.73,0.0715,6
I,0.47,0.36,0.84,0.47200000000000003,0.182,0.01,0.15,10
M,0.2,0.07,0.06,2.02,1.05,0.0095,0.011000000000000001,4
I,0.16,0.61,0.68,0.0215,1.12,0.49,0.005,3
M,0.645,0.515,0.59,1.5415,0.47100000000000003,0.369,0.99,13
M,0.59,0.41,0.59,0.7605,0.2505,0.1635,0.195,14
M,0.57,0.435,0.18,1.69,0.82,0.0,0.61,10
F,0.63,0.485,0.12,0.5,0.13,0.64,0.71,21
M,0.75,0.44,1.01,0.971,0.44299999999999995,0.67,0.265,14
F,0.595,0.455,0.195,1.3305,0.96,0.3235,0.345,19
F,0.09,0.48,0.2,1.2255,0.381,0.27,0.435,23
F,0.63,0.485,0.175,2.49,0.78,0.2945,0.46,23
I,0.45,0.355,0.45,0.91,0.0,0.5,0.39,8
F,0.4,0.18,1.01,1.242,0.5760000000000001,0.2475,0.27,14
M,0.45,0.35,0.1,0.3675,0.1465,0.75,0.12,10
F,0.58,0.455,0.8,2.36,0.36,0.52,0.81,18
I,0.33,0.52,0.095,0.172,0.066,0.0255,0.06,6
I,0.265,0.21,0.06,0.0965,0.66,0.022000000000000002,0.03,5
M,0.44,0.145,0.73,1.22,0.31,0.71,0.31,4
F,0.61,0.07,0.77,0.2845,1.23,0.07,0.1,11
I,0.28,0.39,0.49,1.41,0.2,0.09,0.53,5
M,0.335,0.2,0.105,0.222,0.0935,0.04,0.075,7
I,0.355,0.275,0.32,0.53,0.09699999999999999,0.053,0.65,7
F,0.32,0.06,0.1,0.1755,0.46,0.41,0.38,7
M,0.51,0.56,0.13,1.4,0.6,0.1665,0.42,12
M,0.36,0.295,0.22,0.24100000000000002,0.0865,0.2,0.095,8
I,0.36,0.28,0.8,0.2255,0.0885,0.33,0.09,8
I,0.1,0.13,0.88,2.26,0.2135,0.05,0.73,12
F,0.26,0.325,0.12,0.4,0.134,0.0565,0.81,8
F,0.54,0.22,0.08,2.43,0.0475,0.042,0.035,5
I,0.235,0.6,0.17,0.0705,0.76,0.08,0.91,5
F,0.14,0.63,0.53,1.974,0.598,0.4085,0.71,16
I,0.53,0.65,0.28,0.08,0.55,0.3175,0.355,11
I,0.6,0.475,0.71,0.86,0.40299999999999997,0.2655,0.325,14
M,0.59,0.45,0.76,1.2830000000000001,0.95,0.55,0.425,16
M,0.2,0.14,0.185,1.325,0.6045,0.7,0.33,13
F,0.565,0.07,0.195,1.65,0.406,0.55,0.285,15
M,0.575,0.17,0.145,1.165,0.581,0.2275,0.3,14
F,0.52,0.51,0.14,2.07,0.4775,0.25,0.52,14
M,0.41,0.61,0.98,1.274,0.63,0.3065,0.32,12
F,0.505,0.27,0.4,0.568,1.3,0.1495,0.17,12
F,0.41,0.425,0.155,1.35,0.3005,0.152,0.24,8
M,0.49,0.39,0.14,0.7070000000000001,0.72,0.2185,0.18,13
F,0.19,0.3,0.57,0.7559999999999999,0.2745,0.22,0.275,9
I,0.64,0.45,0.78,0.2,0.76,0.0555,0.055,6
I,0.21,0.6,0.115,0.2715,0.51,0.35,0.09,8
M,0.61,0.49,0.56,1.2,0.56,0.18,0.28,14
F,0.35,0.495,0.185,1.153,0.536,0.2905,0.245,8
F,0.61,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
M,0.57,0.52,0.14,0.9535,0.4465,0.2065,0.86,12
M,0.58,0.6,0.17,0.04,0.95,0.35,0.52,9
I,0.635,0.21,0.17,1.275,0.77,0.28600000000000003,0.41,16
M,0.7,0.58,0.93,2.13,0.7415,0.49,0.58,20
I,0.22,0.13,0.08,1.587,0.6935,0.1,0.395,13
I,0.645,0.525,0.19,1.8085,0.87,0.3885,0.61,18
M,0.745,0.2,0.215,2.499,0.15,0.44,0.7,17
I,0.685,0.545,0.18,1.99,0.28,0.392,0.485,16
M,0.605,0.49,0.18,1.227,1.32,0.287,0.35,18
F,0.59,0.465,0.15,0.28,0.392,0.24600000000000002,0.34,12
F,0.46,0.525,0.175,1.4225,0.61,0.2995,0.9,20
F,0.14,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,16
F,0.62,0.58,0.28,2.72,0.4985,0.53,0.35,12
M,0.33,0.55,0.98,1.016,1.08,0.36,0.64,19
M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.66,11
M,0.58,0.34,0.12,1.0735,0.479,0.1,0.265,10
M,0.72,0.49,0.18,1.13,0.45799999999999996,0.2765,0.315,12
M,0.69,0.38,0.215,1.719,0.54,0.04,0.4,17
M,0.35,0.545,0.14,0.27,0.6645,0.09,0.72,16
F,0.66,0.27,0.195,1.7605,0.6920000000000001,0.57,0.5,16
M,0.75,0.07,0.59,2.6,0.585,0.37,0.05,19
F,0.57,0.575,0.17,2.67,0.01,0.29,0.42,14
M,0.65,0.52,0.49,1.3430000000000002,0.4635,0.292,0.92,13
I,0.34,0.36,1.07,1.7345,0.6845,0.37,0.51,20
M,0.63,0.59,0.27,1.1775,0.4935,0.3365,0.285,11
F,0.3,0.14,0.64,1.077,0.4995,0.2875,0.25,10
M,0.565,0.61,0.175,0.995,0.76,0.55,0.37,15
M,0.61,0.46,0.185,2.5,0.3705,0.3135,0.33,12
M,0.605,0.47,0.92,0.53,0.76,0.2805,0.41,15
I,0.535,0.42,0.145,1.82,1.35,0.75,0.16,10
M,0.15,0.4,0.86,0.74,0.8,0.61,0.2,10
M,0.47,0.26,0.24,0.5565,0.226,0.122,0.195,12
M,0.545,0.425,0.16,0.78,0.373,0.28,0.06,10
F,0.455,0.37,0.105,0.4925,0.21600000000000003,0.1245,0.135,9
F,0.79,0.31,0.155,2.37,0.3515,0.152,0.215,12
M,0.46,0.38,0.135,0.48200000000000004,0.207,0.38,0.02,10
I,0.49,0.42,0.125,0.609,1.47,0.1435,0.6,14
F,0.465,0.33,0.12,0.47100000000000003,1.4,0.11900000000000001,0.43,9
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10
F,0.475,0.55,0.125,0.593,0.27699999999999997,0.115,0.81,10
F,0.11,0.13,0.125,0.9,1.12,0.05,0.18,10
M,0.365,0.295,0.095,0.55,1.48,0.0545,0.13,9
F,0.56,0.275,0.68,1.25,0.34,0.33,0.12,6
F,0.39,0.31,0.1,0.302,0.08,0.05,0.71,11
M,0.5,0.46,0.14,0.7155,0.3165,0.17600000000000002,0.49,10
M,0.47,0.38,0.15,0.5865,0.2,0.14400000000000002,0.185,8
I,0.535,0.44,0.56,0.6765,0.84,0.139,0.34,12
I,0.585,0.44,0.53,0.987,0.74,0.03,0.31,11
F,0.485,0.13,0.12,0.5885,0.52,0.131,0.175,9
F,0.6,0.22,0.86,0.7225,1.48,0.1625,0.235,9
F,0.35,0.63,0.11,0.4335,0.17800000000000002,0.0985,0.155,7
I,0.515,0.415,0.14,0.6935,0.56,0.4,0.2,10
I,0.44,0.345,0.11,0.365,0.1655,0.3,0.34,7
F,0.525,0.37,0.82,0.52,0.3685,0.41,0.24,12
M,0.65,0.355,0.115,0.73,0.2125,0.1045,0.15,8
M,0.22,0.37,0.12,1.64,0.39,0.66,0.29,16
M,0.555,0.35,0.145,0.915,0.4,0.55,0.12,11
M,0.57,0.56,0.095,0.8270000000000001,0.3395,0.2215,0.235,8
M,0.59,0.5,0.165,2.76,0.4565,0.2425,0.34,15
